system:time_start,AreaWater
"Mar 1, 1984",0
"Apr 1, 1984",0
"May 1, 1984",0
"Jun 1, 1984",0
"Jul 1, 1984","2,297.16"
"Aug 1, 1984",0
"Sep 1, 1984",0
"Oct 1, 1984",0
"Nov 1, 1984",0
"Dec 1, 1984",0
"Jan 1, 1985",0
"Feb 1, 1985",0
"Mar 1, 1985","2,349.81"
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0.09
"Mar 1, 1986",0
"Apr 1, 1986","1,883.164"
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986","2,412.724"
"Aug 1, 1986","2,413.444"
"Sep 1, 1986","2,398.05"
"Oct 1, 1986","2,398.144"
"Nov 1, 1986","2,377.174"
"Dec 1, 1986",0
"Jan 1, 1987",0
"Feb 1, 1987","2,378.614"
"Mar 1, 1987",0
"Apr 1, 1987","2,356.924"
"May 1, 1987","2,365.834"
"Jun 1, 1987","2,362.954"
"Jul 1, 1987",341.28
"Aug 1, 1987","2,399.584"
"Sep 1, 1987","2,363.584"
"Oct 1, 1987","2,367.72"
"Nov 1, 1987","2,358.09"
"Dec 1, 1987","2,330.01"
"Jan 1, 1988","1,969.02"
"Feb 1, 1988","2,336.944"
"Mar 1, 1988","2,035.534"
"Apr 1, 1988","2,358.99"
"May 1, 1988","2,323.89"
"Jun 1, 1988","2,349.454"
"Jul 1, 1988","2,337.39"
"Aug 1, 1988","2,349.184"
"Sep 1, 1988","2,370.87"
"Oct 1, 1988","1,851.75"
"Nov 1, 1988","2,308.23"
"Dec 1, 1988",0
"Jan 1, 1989","2,263.594"
"Feb 1, 1989","1,862.46"
"Mar 1, 1989",311.494
"Apr 1, 1989",559.62
"May 1, 1989","2,296.62"
"Jun 1, 1989",0
"Jul 1, 1989","2,221.29"
"Aug 1, 1989","2,285.55"
"Sep 1, 1989","2,298.244"
"Oct 1, 1989",0
"Nov 1, 1989","2,235.42"
"Dec 1, 1989","2,275.83"
"Jan 1, 1990","2,015.73"
"Feb 1, 1990","1,707.57"
"Mar 1, 1990","2,137.23"
"Apr 1, 1990","2,212.74"
"May 1, 1990","2,220.66"
"Jun 1, 1990","2,263.86"
"Jul 1, 1990","2,254.41"
"Aug 1, 1990","2,265.03"
"Sep 1, 1990","2,277.72"
"Oct 1, 1990","2,197.62"
"Nov 1, 1990","1,893.06"
"Dec 1, 1990",0
"Jan 1, 1991","1,036.89"
"Feb 1, 1991","2,267.82"
"Mar 1, 1991","1,915.384"
"Apr 1, 1991","2,291.674"
"May 1, 1991","2,252.88"
"Jun 1, 1991","2,270.434"
"Jul 1, 1991","2,283.034"
"Aug 1, 1991","2,259.364"
"Sep 1, 1991","2,291.49"
"Oct 1, 1991",0
"Nov 1, 1991","2,238.21"
"Dec 1, 1991","2,208.87"
"Jan 1, 1992","2,244.42"
"Feb 1, 1992","2,132.01"
"Mar 1, 1992",0
"Apr 1, 1992","1,794.87"
"May 1, 1992",0
"Jun 1, 1992","2,162.79"
"Jul 1, 1992","2,227.32"
"Aug 1, 1992","2,211.75"
"Sep 1, 1992","2,208.96"
"Oct 1, 1992","2,218.86"
"Nov 1, 1992","2,183.67"
"Dec 1, 1992","2,182.32"
"Jan 1, 1993","1,190.25"
"Feb 1, 1993","2,336.76"
"Mar 1, 1993","2,188.8"
"Apr 1, 1993","2,244.96"
"May 1, 1993","2,239.74"
"Jun 1, 1993","2,230.65"
"Jul 1, 1993","2,259.09"
"Aug 1, 1993","2,218.23"
"Sep 1, 1993","2,347.924"
"Oct 1, 1993","1,903.68"
"Nov 1, 1993","2,196.9"
"Dec 1, 1993","2,229.21"
"Jan 1, 1994","1,418.674"
"Feb 1, 1994","2,261.88"
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994","2,252.43"
"Jun 1, 1994","2,218.41"
"Jul 1, 1994","2,241.27"
"Aug 1, 1994","2,241.99"
"Sep 1, 1994","2,226.96"
"Oct 1, 1994","2,219.58"
"Nov 1, 1994","2,165.58"
"Dec 1, 1994","1,880.1"
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995","2,192.94"
"May 1, 1995","2,181.424"
"Jun 1, 1995","2,170.17"
"Jul 1, 1995","2,151.18"
"Aug 1, 1995","2,136.87"
"Sep 1, 1995","2,202.03"
"Oct 1, 1995","2,105.46"
"Nov 1, 1995","2,081.88"
"Dec 1, 1995","2,088.36"
"Jan 1, 1996","2,146.95"
"Feb 1, 1996",0
"Mar 1, 1996","2,200.234"
"Apr 1, 1996","2,221.11"
"May 1, 1996","2,159.55"
"Jun 1, 1996",791.374
"Jul 1, 1996","2,117.07"
"Aug 1, 1996","2,143.53"
"Sep 1, 1996","2,138.4"
"Oct 1, 1996","2,136.15"
"Nov 1, 1996","2,115.27"
"Dec 1, 1996","2,050.47"
"Jan 1, 1997","1,990.08"
"Feb 1, 1997","2,238.12"
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997","2,342.61"
"Jun 1, 1997","2,286.09"
"Jul 1, 1997","2,298.87"
"Aug 1, 1997","2,313.9"
"Sep 1, 1997","2,142.9"
"Oct 1, 1997","2,142.09"
"Nov 1, 1997","2,259.99"
"Dec 1, 1997","1,998.45"
"Jan 1, 1998","1,418.4"
"Feb 1, 1998","2,238.3"
"Mar 1, 1998","2,216.79"
"Apr 1, 1998","2,200.41"
"May 1, 1998","2,135.97"
"Jun 1, 1998","2,145.78"
"Jul 1, 1998","2,155.14"
"Aug 1, 1998","1,734.12"
"Sep 1, 1998","2,132.37"
"Oct 1, 1998","2,125.08"
"Nov 1, 1998","1,072.53"
"Dec 1, 1998","2,043.9"
"Jan 1, 1999","1,977.75"
"Feb 1, 1999","1,916.73"
"Mar 1, 1999","1,837.08"
"Apr 1, 1999","2,317.68"
"May 1, 1999","2,318.13"
"Jun 1, 1999",0
"Jul 1, 1999","2,333.88"
"Aug 1, 1999","2,342.34"
"Sep 1, 1999","2,333.61"
"Oct 1, 1999","2,307.42"
"Nov 1, 1999","2,281.14"
"Dec 1, 1999","2,245.68"
"Jan 1, 2000",893.7
"Feb 1, 2000","2,323.35"
"Mar 1, 2000","2,351.7"
"Apr 1, 2000","2,387.34"
"May 1, 2000","2,370.42"
"Jun 1, 2000","2,333.07"
"Jul 1, 2000","2,336.94"
"Aug 1, 2000","2,322.81"
"Sep 1, 2000","2,298.42"
"Oct 1, 2000","2,291.04"
"Nov 1, 2000","2,278.89"
"Dec 1, 2000","2,278.8"
"Jan 1, 2001","1,846.98"
"Feb 1, 2001","2,423.34"
"Mar 1, 2001","1,973.434"
"Apr 1, 2001","2,445.484"
"May 1, 2001","2,437.744"
"Jun 1, 2001","2,437.564"
"Jul 1, 2001","2,431.98"
"Aug 1, 2001","2,362.23"
"Sep 1, 2001","2,440.624"
"Oct 1, 2001","2,420.554"
"Nov 1, 2001","2,407.054"
"Dec 1, 2001","2,394.634"
"Jan 1, 2002","2,419.924"
"Feb 1, 2002","2,337.934"
"Mar 1, 2002","2,338.29"
"Apr 1, 2002","2,420.374"
"May 1, 2002","2,394.54"
"Jun 1, 2002","2,389.504"
"Jul 1, 2002",0
"Aug 1, 2002","2,407.414"
"Sep 1, 2002",0
"Oct 1, 2002","2,377.444"
"Nov 1, 2002","2,358.634"
"Dec 1, 2002","2,347.83"
"Jan 1, 2003","2,316.154"
"Feb 1, 2003","2,327.94"
"Mar 1, 2003","2,315.34"
"Apr 1, 2003",0
"May 1, 2003","2,315.79"
"Jun 1, 2003","2,298.33"
"Jul 1, 2003","2,367.544"
"Aug 1, 2003","2,353.32"
"Sep 1, 2003","2,305.35"
"Oct 1, 2003","2,318.94"
"Nov 1, 2003","2,285.55"
"Dec 1, 2003","2,081.88"
"Jan 1, 2004","2,310.21"
"Feb 1, 2004","2,362.77"
"Mar 1, 2004","1,619.46"
"Apr 1, 2004","2,334.6"
"May 1, 2004","2,330.46"
"Jun 1, 2004","2,335.77"
"Jul 1, 2004","2,381.31"
"Aug 1, 2004","2,200.5"
"Sep 1, 2004","2,389.68"
"Oct 1, 2004","2,320.29"
"Nov 1, 2004","2,294.91"
"Dec 1, 2004","2,295.81"
"Jan 1, 2005","2,255.67"
"Feb 1, 2005","2,168.91"
"Mar 1, 2005","2,372.67"
"Apr 1, 2005","2,334.604"
"May 1, 2005","2,336.404"
"Jun 1, 2005","2,330.014"
"Jul 1, 2005","2,331.004"
"Aug 1, 2005","2,355.304"
"Sep 1, 2005","2,377.354"
"Oct 1, 2005","2,328.93"
"Nov 1, 2005","2,254.68"
"Dec 1, 2005","1,908.9"
"Jan 1, 2006",21.96
"Feb 1, 2006","2,345.134"
"Mar 1, 2006","2,264.674"
"Apr 1, 2006","2,305.624"
"May 1, 2006","2,337.394"
"Jun 1, 2006","2,321.644"
"Jul 1, 2006","2,342.344"
"Aug 1, 2006","2,321.734"
"Sep 1, 2006","2,321.82"
"Oct 1, 2006","2,296.264"
"Nov 1, 2006","2,266.744"
"Dec 1, 2006","2,238.394"
"Jan 1, 2007","2,230.38"
"Feb 1, 2007","2,202.39"
"Mar 1, 2007","2,059.47"
"Apr 1, 2007","2,244.6"
"May 1, 2007","2,259.634"
"Jun 1, 2007","2,260.894"
"Jul 1, 2007","2,234.794"
"Aug 1, 2007","2,277.454"
"Sep 1, 2007","2,294.73"
"Oct 1, 2007","2,222.464"
"Nov 1, 2007","1,883.884"
"Dec 1, 2007","2,189.34"
"Jan 1, 2008","1,947.96"
"Feb 1, 2008","2,258.73"
"Mar 1, 2008","2,250.634"
"Apr 1, 2008","2,219.224"
"May 1, 2008","2,203.654"
"Jun 1, 2008","1,390.95"
"Jul 1, 2008","2,191.774"
"Aug 1, 2008","2,269.8"
"Sep 1, 2008","2,262.33"
"Oct 1, 2008","2,259.454"
"Nov 1, 2008","2,167.74"
"Dec 1, 2008","2,213.19"
"Jan 1, 2009","2,228.4"
"Feb 1, 2009","2,097.18"
"Mar 1, 2009","2,186.1"
"Apr 1, 2009","2,204.19"
