system:time_start,AreaWater
"Mar 1, 1984",0
"Apr 1, 1984",0
"May 1, 1984",0
"Jun 1, 1984",0
"Jul 1, 1984",9.99
"Aug 1, 1984",0
"Sep 1, 1984",0
"Oct 1, 1984",0
"Nov 1, 1984",0
"Dec 1, 1984",0
"Jan 1, 1985",0
"Feb 1, 1985",0
"Mar 1, 1985",17.1
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",13.95
"Aug 1, 1985",14.31
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",13.86
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0
"Mar 1, 1986",8.1
"Apr 1, 1986",16.11
"May 1, 1986",13.5
"Jun 1, 1986",0
"Jul 1, 1986",16.83
"Aug 1, 1986",17.55
"Sep 1, 1986",15.84
"Oct 1, 1986",13.95
"Nov 1, 1986",11.43
"Dec 1, 1986",4.77
"Jan 1, 1987",13.95
"Feb 1, 1987",12.69
"Mar 1, 1987",13.14
"Apr 1, 1987",12.51
"May 1, 1987",15.12
"Jun 1, 1987",16.02
"Jul 1, 1987",0
"Aug 1, 1987",14.85
"Sep 1, 1987",13.77
"Oct 1, 1987",13.68
"Nov 1, 1987",18.36
"Dec 1, 1987",12.42
"Jan 1, 1988",10.08
"Feb 1, 1988",18.63
"Mar 1, 1988",16.65
"Apr 1, 1988",14.13
"May 1, 1988",11.7
"Jun 1, 1988",16.38
"Jul 1, 1988",16.02
"Aug 1, 1988",14.85
"Sep 1, 1988",13.05
"Oct 1, 1988",12.15
"Nov 1, 1988",11.16
"Dec 1, 1988",9.54
"Jan 1, 1989",9.9
"Feb 1, 1989",7.74
"Mar 1, 1989",11.97
"Apr 1, 1989",11.34
"May 1, 1989",12.69
"Jun 1, 1989",11.97
"Jul 1, 1989",12.51
"Aug 1, 1989",12.33
"Sep 1, 1989",11.25
"Oct 1, 1989",3.6
"Nov 1, 1989",10.35
"Dec 1, 1989",12.15
"Jan 1, 1990",8.1
"Feb 1, 1990",11.7
"Mar 1, 1990",14.85
"Apr 1, 1990",12.33
"May 1, 1990",12.33
"Jun 1, 1990",17.1
"Jul 1, 1990",13.86
"Aug 1, 1990",13.41
"Sep 1, 1990",10.53
"Oct 1, 1990",3.96
"Nov 1, 1990",5.49
"Dec 1, 1990",0
"Jan 1, 1991",12.51
"Feb 1, 1991",14.22
"Mar 1, 1991",12.87
"Apr 1, 1991",12.96
"May 1, 1991",14.13
"Jun 1, 1991",13.32
"Jul 1, 1991",12.15
"Aug 1, 1991",12.6
"Sep 1, 1991",8.37
"Oct 1, 1991",0
"Nov 1, 1991",6.12
"Dec 1, 1991",7.38
"Jan 1, 1992",10.17
"Feb 1, 1992",5.49
"Mar 1, 1992",0
"Apr 1, 1992",5.67
"May 1, 1992",0
"Jun 1, 1992",15.12
"Jul 1, 1992",14.67
"Aug 1, 1992",13.59
"Sep 1, 1992",13.77
"Oct 1, 1992",11.34
"Nov 1, 1992",8.91
"Dec 1, 1992",9.36
"Jan 1, 1993",11.61
"Feb 1, 1993",13.77
"Mar 1, 1993",12.69
"Apr 1, 1993",12.69
"May 1, 1993",14.04
"Jun 1, 1993",12.69
"Jul 1, 1993",15.3
"Aug 1, 1993",15.84
"Sep 1, 1993",13.41
"Oct 1, 1993",10.53
"Nov 1, 1993",10.17
"Dec 1, 1993",11.88
"Jan 1, 1994",13.5
"Feb 1, 1994",14.22
"Mar 1, 1994",0
"Apr 1, 1994",9.27
"May 1, 1994",15.03
"Jun 1, 1994",13.86
"Jul 1, 1994",15.57
"Aug 1, 1994",13.95
"Sep 1, 1994",12.33
"Oct 1, 1994",11.79
"Nov 1, 1994",10.53
"Dec 1, 1994",10.08
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",6.66
"Apr 1, 1995",15.48
"May 1, 1995",14.4
"Jun 1, 1995",16.74
"Jul 1, 1995",15.75
"Aug 1, 1995",14.76
"Sep 1, 1995",13.23
"Oct 1, 1995",12.33
"Nov 1, 1995",11.61
"Dec 1, 1995",13.68
"Jan 1, 1996",14.13
"Feb 1, 1996",0.81
"Mar 1, 1996",16.65
"Apr 1, 1996",15.75
"May 1, 1996",14.4
"Jun 1, 1996",16.56
"Jul 1, 1996",18.09
"Aug 1, 1996",16.56
"Sep 1, 1996",16.56
"Oct 1, 1996",15.12
"Nov 1, 1996",14.76
"Dec 1, 1996",14.67
"Jan 1, 1997",14.58
"Feb 1, 1997",16.83
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",16.65
"Jun 1, 1997",17.28
"Jul 1, 1997",17.46
"Aug 1, 1997",17.55
"Sep 1, 1997",15.93
"Oct 1, 1997",15.3
"Nov 1, 1997",15.75
"Dec 1, 1997",17.73
"Jan 1, 1998",18.45
"Feb 1, 1998",16.65
"Mar 1, 1998",15.39
"Apr 1, 1998",17.28
"May 1, 1998",17.19
"Jun 1, 1998",18.45
"Jul 1, 1998",18.54
"Aug 1, 1998",17.55
"Sep 1, 1998",17.64
"Oct 1, 1998",17.55
"Nov 1, 1998",16.02
"Dec 1, 1998",17.73
"Jan 1, 1999",18.72
"Feb 1, 1999",2.7
"Mar 1, 1999",18
"Apr 1, 1999",17.82
"May 1, 1999",20.97
"Jun 1, 1999",18.54
"Jul 1, 1999",18.63
"Aug 1, 1999",19.26
"Sep 1, 1999",20.25
"Oct 1, 1999",17.82
"Nov 1, 1999",18.99
"Dec 1, 1999",17.01
"Jan 1, 2000",16.74
"Feb 1, 2000",17.28
"Mar 1, 2000",18.27
"Apr 1, 2000",19.08
"May 1, 2000",18.54
"Jun 1, 2000",18.27
"Jul 1, 2000",20.43
"Aug 1, 2000",19.71
"Sep 1, 2000",18.36
"Oct 1, 2000",18.54
"Nov 1, 2000",18.54
"Dec 1, 2000",17.91
"Jan 1, 2001",19.62
"Feb 1, 2001",19.89
"Mar 1, 2001",18.72
"Apr 1, 2001",20.97
"May 1, 2001",19.89
"Jun 1, 2001",20.07
"Jul 1, 2001",18.45
"Aug 1, 2001",21.06
"Sep 1, 2001",19.44
"Oct 1, 2001",16.92
"Nov 1, 2001",17.28
"Dec 1, 2001",18
"Jan 1, 2002",18.27
"Feb 1, 2002",16.92
"Mar 1, 2002",16.56
"Apr 1, 2002",17.82
"May 1, 2002",15.39
"Jun 1, 2002",15.93
"Jul 1, 2002",17.1
"Aug 1, 2002",18.18
"Sep 1, 2002",15.39
"Oct 1, 2002",15.12
"Nov 1, 2002",17.1
"Dec 1, 2002",15.93
"Jan 1, 2003",15.39
"Feb 1, 2003",17.82
"Mar 1, 2003",15.57
"Apr 1, 2003",15.21
"May 1, 2003",16.74
"Jun 1, 2003",17.82
"Jul 1, 2003",19.35
"Aug 1, 2003",18.99
"Sep 1, 2003",18.09
"Oct 1, 2003",18
"Nov 1, 2003",16.11
"Dec 1, 2003",15.39
"Jan 1, 2004",17.19
"Feb 1, 2004",17.28
"Mar 1, 2004",16.38
"Apr 1, 2004",17.37
"May 1, 2004",17.73
"Jun 1, 2004",18.72
"Jul 1, 2004",18.36
"Aug 1, 2004",16.83
"Sep 1, 2004",17.73
"Oct 1, 2004",17.55
"Nov 1, 2004",17.46
"Dec 1, 2004",18
"Jan 1, 2005",18.27
"Feb 1, 2005",17.73
"Mar 1, 2005",19.17
"Apr 1, 2005",18.09
"May 1, 2005",17.82
"Jun 1, 2005",18.72
"Jul 1, 2005",18.09
"Aug 1, 2005",19.17
"Sep 1, 2005",19.17
"Oct 1, 2005",17.73
"Nov 1, 2005",17.01
"Dec 1, 2005",17.01
"Jan 1, 2006",8.01
"Feb 1, 2006",19.26
"Mar 1, 2006",17.46
"Apr 1, 2006",17.1
"May 1, 2006",18.54
"Jun 1, 2006",17.73
"Jul 1, 2006",19.44
"Aug 1, 2006",18.81
"Sep 1, 2006",18.18
"Oct 1, 2006",18.36
"Nov 1, 2006",17.28
"Dec 1, 2006",15.66
"Jan 1, 2007",16.56
"Feb 1, 2007",15.12
"Mar 1, 2007",16.74
"Apr 1, 2007",16.47
"May 1, 2007",18.36
"Jun 1, 2007",19.53
"Jul 1, 2007",19.35
"Aug 1, 2007",19.35
"Sep 1, 2007",18.72
"Oct 1, 2007",18.45
"Nov 1, 2007",10.98
"Dec 1, 2007",16.74
"Jan 1, 2008",17.82
"Feb 1, 2008",18.09
"Mar 1, 2008",19.98
"Apr 1, 2008",18.36
"May 1, 2008",19.08
"Jun 1, 2008",18.54
"Jul 1, 2008",19.26
"Aug 1, 2008",20.34
"Sep 1, 2008",19.62
"Oct 1, 2008",18.36
"Nov 1, 2008",17.64
"Dec 1, 2008",18.54
"Jan 1, 2009",18.18
"Feb 1, 2009",18.27
"Mar 1, 2009",17.1
"Apr 1, 2009",19.35
"May 1, 2009",19.62
"Jun 1, 2009",19.53
"Jul 1, 2009",19.35
"Aug 1, 2009",19.17
"Sep 1, 2009",18.99
"Oct 1, 2009",18.45
"Nov 1, 2009",16.83
"Dec 1, 2009",19.08
"Jan 1, 2010",16.11
"Feb 1, 2010",18.36
"Mar 1, 2010",19.44
"Apr 1, 2010",18.09
"May 1, 2010",19.8
"Jun 1, 2010",8.01
"Jul 1, 2010",18.54
"Aug 1, 2010",18.99
"Sep 1, 2010",19.35
"Oct 1, 2010",19.44
"Nov 1, 2010",18.09
"Dec 1, 2010",18.63
"Jan 1, 2011",16.56
"Feb 1, 2011",13.14
"Mar 1, 2011",17.46
"Apr 1, 2011",20.43
"May 1, 2011",19.71
"Jun 1, 2011",20.16
"Jul 1, 2011",19.44
"Aug 1, 2011",19.08
"Sep 1, 2011",20.16
"Oct 1, 2011",18.81
"Nov 1, 2011",19.35
"Dec 1, 2011",16.56
"Jan 1, 2012",15.48
"Feb 1, 2012",2.61
"Mar 1, 2012",19.62
"Apr 1, 2012",19.17
"May 1, 2012",11.52
"Jun 1, 2012",20.16
"Jul 1, 2012",16.29
"Aug 1, 2012",19.8
"Sep 1, 2012",17.82
"Oct 1, 2012",17.19
"Nov 1, 2012",15.66
"Dec 1, 2012",17.37
"Jan 1, 2013",17.37
"Feb 1, 2013",13.14
"Mar 1, 2013",17.37
"Apr 1, 2013",18.36
"May 1, 2013",18.72
