system:time_start,AreaWater
"Mar 1, 1984",0
"Apr 1, 1984",0
"May 1, 1984",0
"Jun 1, 1984",0
"Jul 1, 1984",0
"Aug 1, 1984",0
"Sep 1, 1984",0
"Oct 1, 1984",0
"Nov 1, 1984",0
"Dec 1, 1984",0
"Jan 1, 1985",0
"Feb 1, 1985",0
"Mar 1, 1985",3.51
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",3.06
"Aug 1, 1985",2.97
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",3.06
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0
"Mar 1, 1986",4.14
"Apr 1, 1986",0
"May 1, 1986",3.96
"Jun 1, 1986",0
"Jul 1, 1986",3.87
"Aug 1, 1986",3.87
"Sep 1, 1986",3.87
"Oct 1, 1986",3.33
"Nov 1, 1986",1.89
"Dec 1, 1986",0
"Jan 1, 1987",0.54
"Feb 1, 1987",0
"Mar 1, 1987",4.23
"Apr 1, 1987",1.8
"May 1, 1987",1.71
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",1.17
"Nov 1, 1987",0.72
"Dec 1, 1987",0.99
"Jan 1, 1988",0
"Feb 1, 1988",0.99
"Mar 1, 1988",2.07
"Apr 1, 1988",1.26
"May 1, 1988",1.98
"Jun 1, 1988",2.61
"Jul 1, 1988",2.61
"Aug 1, 1988",1.8
"Sep 1, 1988",1.62
"Oct 1, 1988",0.27
"Nov 1, 1988",0
"Dec 1, 1988",0.09
"Jan 1, 1989",0
"Feb 1, 1989",2.7
"Mar 1, 1989",2.61
"Apr 1, 1989",2.34
"May 1, 1989",1.98
"Jun 1, 1989",1.53
"Jul 1, 1989",0.72
"Aug 1, 1989",0.18
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0.72
"Jan 1, 1990",0
"Feb 1, 1990",1.17
"Mar 1, 1990",1.8
"Apr 1, 1990",0.45
"May 1, 1990",0.54
"Jun 1, 1990",0.54
"Jul 1, 1990",0.36
"Aug 1, 1990",0.36
"Sep 1, 1990",0.36
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",3.6
"Feb 1, 1991",2.16
"Mar 1, 1991",1.62
"Apr 1, 1991",2.34
"May 1, 1991",3.06
"Jun 1, 1991",1.71
"Jul 1, 1991",1.89
"Aug 1, 1991",1.8
"Sep 1, 1991",1.35
"Oct 1, 1991",0
"Nov 1, 1991",0.54
"Dec 1, 1991",0.54
"Jan 1, 1992",0.09
"Feb 1, 1992",0.27
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",3.15
"Mar 1, 1993",3.69
"Apr 1, 1993",3.33
"May 1, 1993",3.06
"Jun 1, 1993",0
"Jul 1, 1993",3.06
"Aug 1, 1993",3.06
"Sep 1, 1993",3.06
"Oct 1, 1993",2.52
"Nov 1, 1993",2.25
"Dec 1, 1993",1.8
"Jan 1, 1994",1.53
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",3.15
"May 1, 1994",3.24
"Jun 1, 1994",2.7
"Jul 1, 1994",3.15
"Aug 1, 1994",3.15
"Sep 1, 1994",0.99
"Oct 1, 1994",1.62
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0.36
"Feb 1, 1995",0
"Mar 1, 1995",0.72
"Apr 1, 1995",0.99
"May 1, 1995",0.81
"Jun 1, 1995",0.72
"Jul 1, 1995",0.72
"Aug 1, 1995",0.72
"Sep 1, 1995",0
"Oct 1, 1995",0.54
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",1.17
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",1.62
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",4.23
"Jul 1, 1997",4.23
"Aug 1, 1997",4.23
"Sep 1, 1997",4.14
"Oct 1, 1997",3.24
"Nov 1, 1997",2.79
"Dec 1, 1997",2.7
"Jan 1, 1998",2.88
"Feb 1, 1998",2.34
"Mar 1, 1998",0
"Apr 1, 1998",2.16
"May 1, 1998",1.62
"Jun 1, 1998",1.89
"Jul 1, 1998",1.98
"Aug 1, 1998",1.98
"Sep 1, 1998",1.8
"Oct 1, 1998",1.71
"Nov 1, 1998",1.26
"Dec 1, 1998",1.17
"Jan 1, 1999",2.25
"Feb 1, 1999",0.09
"Mar 1, 1999",3.51
"Apr 1, 1999",4.14
"May 1, 1999",4.32
"Jun 1, 1999",4.05
"Jul 1, 1999",4.5
"Aug 1, 1999",4.5
"Sep 1, 1999",4.5
"Oct 1, 1999",4.41
"Nov 1, 1999",4.14
"Dec 1, 1999",3.6
"Jan 1, 2000",1.26
"Feb 1, 2000",4.5
"Mar 1, 2000",4.41
"Apr 1, 2000",4.5
"May 1, 2000",4.41
"Jun 1, 2000",4.5
"Jul 1, 2000",4.5
"Aug 1, 2000",4.5
"Sep 1, 2000",4.5
"Oct 1, 2000",2.97
"Nov 1, 2000",0.9
"Dec 1, 2000",0.63
"Jan 1, 2001",0
"Feb 1, 2001",4.14
"Mar 1, 2001",4.5
"Apr 1, 2001",4.5
"May 1, 2001",4.5
"Jun 1, 2001",4.5
"Jul 1, 2001",4.5
"Aug 1, 2001",4.5
"Sep 1, 2001",4.5
"Oct 1, 2001",4.5
"Nov 1, 2001",4.41
"Dec 1, 2001",4.14
"Jan 1, 2002",4.41
"Feb 1, 2002",3.6
"Mar 1, 2002",2.07
"Apr 1, 2002",4.32
"May 1, 2002",4.14
"Jun 1, 2002",4.23
"Jul 1, 2002",4.32
"Aug 1, 2002",4.14
"Sep 1, 2002",3.51
"Oct 1, 2002",2.61
"Nov 1, 2002",2.88
"Dec 1, 2002",2.43
"Jan 1, 2003",0
"Feb 1, 2003",2.52
"Mar 1, 2003",3.6
"Apr 1, 2003",3.51
"May 1, 2003",3.24
"Jun 1, 2003",3.15
"Jul 1, 2003",3.87
"Aug 1, 2003",3.24
"Sep 1, 2003",2.88
"Oct 1, 2003",2.61
"Nov 1, 2003",2.34
"Dec 1, 2003",2.52
"Jan 1, 2004",2.61
"Feb 1, 2004",4.5
"Mar 1, 2004",4.23
"Apr 1, 2004",4.5
"May 1, 2004",3.87
"Jun 1, 2004",3.69
"Jul 1, 2004",3.6
"Aug 1, 2004",2.43
"Sep 1, 2004",1.8
"Oct 1, 2004",1.17
"Nov 1, 2004",0.99
"Dec 1, 2004",1.8
"Jan 1, 2005",0.45
"Feb 1, 2005",0.27
"Mar 1, 2005",1.08
"Apr 1, 2005",0.54
"May 1, 2005",0.63
"Jun 1, 2005",0.63
"Jul 1, 2005",0.72
"Aug 1, 2005",0.81
"Sep 1, 2005",1.89
"Oct 1, 2005",1.71
"Nov 1, 2005",1.62
"Dec 1, 2005",0.27
"Jan 1, 2006",0
"Feb 1, 2006",3.96
"Mar 1, 2006",4.32
"Apr 1, 2006",4.5
"May 1, 2006",4.5
"Jun 1, 2006",4.32
"Jul 1, 2006",4.32
"Aug 1, 2006",4.14
"Sep 1, 2006",4.5
"Oct 1, 2006",2.88
"Nov 1, 2006",1.53
"Dec 1, 2006",2.16
"Jan 1, 2007",1.35
"Feb 1, 2007",0.99
"Mar 1, 2007",1.62
"Apr 1, 2007",1.71
"May 1, 2007",1.8
"Jun 1, 2007",2.25
"Jul 1, 2007",2.43
"Aug 1, 2007",1.89
"Sep 1, 2007",2.34
"Oct 1, 2007",1.71
"Nov 1, 2007",1.17
"Dec 1, 2007",1.53
"Jan 1, 2008",1.89
"Feb 1, 2008",2.07
"Mar 1, 2008",2.43
"Apr 1, 2008",2.25
"May 1, 2008",2.61
"Jun 1, 2008",2.34
"Jul 1, 2008",2.34
"Aug 1, 2008",1.98
"Sep 1, 2008",2.34
"Oct 1, 2008",2.34
"Nov 1, 2008",1.53
"Dec 1, 2008",1.44
"Jan 1, 2009",1.08
"Feb 1, 2009",0
"Mar 1, 2009",0.63
"Apr 1, 2009",0.9
"May 1, 2009",1.26
"Jun 1, 2009",0.72
"Jul 1, 2009",0.09
"Aug 1, 2009",0
"Sep 1, 2009",0.09
"Oct 1, 2009",0
"Nov 1, 2009",0
"Dec 1, 2009",0
"Jan 1, 2010",0
"Feb 1, 2010",0
"Mar 1, 2010",0
"Apr 1, 2010",0
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0
"Sep 1, 2010",0
"Oct 1, 2010",0
"Nov 1, 2010",0
"Dec 1, 2010",0
"Jan 1, 2011",0.27
"Feb 1, 2011",0.36
"Mar 1, 2011",2.79
"Apr 1, 2011",2.97
"May 1, 2011",3.06
"Jun 1, 2011",2.61
"Jul 1, 2011",3.15
"Aug 1, 2011",2.79
"Sep 1, 2011",2.97
"Oct 1, 2011",1.89
"Nov 1, 2011",1.17
"Dec 1, 2011",0.45
"Jan 1, 2012",2.7
"Feb 1, 2012",1.98
"Mar 1, 2012",4.5
"Apr 1, 2012",4.23
"May 1, 2012",4.5
"Jun 1, 2012",4.5
"Jul 1, 2012",1.62
"Aug 1, 2012",1.53
"Sep 1, 2012",4.5
"Oct 1, 2012",3.42
"Nov 1, 2012",3.87
"Dec 1, 2012",0.99
"Jan 1, 2013",3.69
"Feb 1, 2013",0.45
"Mar 1, 2013",4.41
"Apr 1, 2013",4.5
"May 1, 2013",4.5
"Jun 1, 2013",4.5
"Jul 1, 2013",4.32
"Aug 1, 2013",4.32
"Sep 1, 2013",3.96
"Oct 1, 2013",1.08
"Nov 1, 2013",1.17
"Dec 1, 2013",0.45
"Jan 1, 2014",0.09
