system:time_start,AreaWater
"Mar 1, 1984",0
"Apr 1, 1984",0
"May 1, 1984",0
"Jun 1, 1984",0
"Jul 1, 1984",30.243
"Aug 1, 1984",0
"Sep 1, 1984",0
"Oct 1, 1984",0
"Nov 1, 1984",0
"Dec 1, 1984",0
"Jan 1, 1985",0
"Feb 1, 1985",0
"Mar 1, 1985",34.833
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",1.08
"Mar 1, 1986",0
"Apr 1, 1986",31.974
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",33.774
"Aug 1, 1986",33.234
"Sep 1, 1986",29.793
"Oct 1, 1986",29.343
"Nov 1, 1986",27.18
"Dec 1, 1986",0
"Jan 1, 1987",0
"Feb 1, 1987",34.563
"Mar 1, 1987",0
"Apr 1, 1987",23.04
"May 1, 1987",30.804
"Jun 1, 1987",30.084
"Jul 1, 1987",30.354
"Aug 1, 1987",33.774
"Sep 1, 1987",30.953
"Oct 1, 1987",31.074
"Nov 1, 1987",29.7
"Dec 1, 1987",28.8
"Jan 1, 1988",28.44
"Feb 1, 1988",31.683
"Mar 1, 1988",27.27
"Apr 1, 1988",31.074
"May 1, 1988",30.534
"Jun 1, 1988",32.694
"Jul 1, 1988",31.794
"Aug 1, 1988",33.414
"Sep 1, 1988",33.144
"Oct 1, 1988",29.97
"Nov 1, 1988",29.343
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",30.953
"Mar 1, 1989",0
"Apr 1, 1989",12.873
"May 1, 1989",30.804
"Jun 1, 1989",0
"Jul 1, 1989",32.424
"Aug 1, 1989",33.414
"Sep 1, 1989",33.144
"Oct 1, 1989",0
"Nov 1, 1989",26.28
"Dec 1, 1989",26.37
"Jan 1, 1990",2.16
"Feb 1, 1990",27.45
"Mar 1, 1990",28.89
"Apr 1, 1990",27.623
"May 1, 1990",27.893
"Jun 1, 1990",31.974
"Jul 1, 1990",31.794
"Aug 1, 1990",31.974
"Sep 1, 1990",30.714
"Oct 1, 1990",25.83
"Nov 1, 1990",25.65
"Dec 1, 1990",0
"Jan 1, 1991",22.444
"Feb 1, 1991",30.953
"Mar 1, 1991",30.544
"Apr 1, 1991",28.734
"May 1, 1991",26.484
"Jun 1, 1991",30.354
"Jul 1, 1991",30.534
"Aug 1, 1991",28.734
"Sep 1, 1991",29.603
"Oct 1, 1991",0
"Nov 1, 1991",25.02
"Dec 1, 1991",21.15
"Jan 1, 1992",29.703
"Feb 1, 1992",25.2
"Mar 1, 1992",0
"Apr 1, 1992",21.69
"May 1, 1992",0
"Jun 1, 1992",26.373
"Jul 1, 1992",30.534
"Aug 1, 1992",26.494
"Sep 1, 1992",26.1
"Oct 1, 1992",27
"Nov 1, 1992",24.12
"Dec 1, 1992",23.67
"Jan 1, 1993",21.78
"Feb 1, 1993",27.093
"Mar 1, 1993",28.201
"Apr 1, 1993",25.65
"May 1, 1993",26.754
"Jun 1, 1993",26.934
"Jul 1, 1993",28.824
"Aug 1, 1993",27.024
"Sep 1, 1993",29.464
"Oct 1, 1993",24.84
"Nov 1, 1993",23.31
"Dec 1, 1993",21.51
"Jan 1, 1994",29.25
"Feb 1, 1994",28.62
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",27.003
"Jun 1, 1994",27.204
"Jul 1, 1994",30.984
"Aug 1, 1994",29.004
"Sep 1, 1994",26.813
"Oct 1, 1994",27.003
"Nov 1, 1994",24.03
"Dec 1, 1994",23.4
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",25.2
"May 1, 1995",27.18
"Jun 1, 1995",28.44
"Jul 1, 1995",30.451
"Aug 1, 1995",29.461
"Sep 1, 1995",30.084
"Oct 1, 1995",26.55
"Nov 1, 1995",24.3
"Dec 1, 1995",25.29
"Jan 1, 1996",7.2
"Feb 1, 1996",0
"Mar 1, 1996",29.883
"Apr 1, 1996",27.18
"May 1, 1996",27.63
"Jun 1, 1996",0
"Jul 1, 1996",30.053
"Aug 1, 1996",28.98
"Sep 1, 1996",27.9
"Oct 1, 1996",26.1
"Nov 1, 1996",24.39
"Dec 1, 1996",22.5
"Jan 1, 1997",14.13
"Feb 1, 1997",29.724
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",31.344
"Jun 1, 1997",32.784
"Jul 1, 1997",31.344
"Aug 1, 1997",31.974
"Sep 1, 1997",27.353
"Oct 1, 1997",24.03
"Nov 1, 1997",24.57
"Dec 1, 1997",26.28
"Jan 1, 1998",28.89
"Feb 1, 1998",33.57
"Mar 1, 1998",23.58
"Apr 1, 1998",22.05
"May 1, 1998",23.76
"Jun 1, 1998",28.62
"Jul 1, 1998",29.34
"Aug 1, 1998",26.64
"Sep 1, 1998",27.72
"Oct 1, 1998",22.32
"Nov 1, 1998",22.59
"Dec 1, 1998",12.42
"Jan 1, 1999",22.95
"Feb 1, 1999",29.914
"Mar 1, 1999",43.854
"Apr 1, 1999",31.953
"May 1, 1999",29.253
"Jun 1, 1999",0
"Jul 1, 1999",32.874
"Aug 1, 1999",31.68
"Sep 1, 1999",31.41
"Oct 1, 1999",24.66
"Nov 1, 1999",23.22
"Dec 1, 1999",21.6
"Jan 1, 2000",22.05
"Feb 1, 2000",33.93
"Mar 1, 2000",32.974
"Apr 1, 2000",30.6
"May 1, 2000",31.41
"Jun 1, 2000",30.963
"Jul 1, 2000",32.663
"Aug 1, 2000",30.413
"Sep 1, 2000",29.79
"Oct 1, 2000",27.18
"Nov 1, 2000",25.83
"Dec 1, 2000",24.48
"Jan 1, 2001",26.64
"Feb 1, 2001",43.224
"Mar 1, 2001",41.244
"Apr 1, 2001",41.514
"May 1, 2001",37.644
"Jun 1, 2001",37.104
"Jul 1, 2001",35.391
"Aug 1, 2001",34.491
"Sep 1, 2001",36.024
"Oct 1, 2001",30.333
"Nov 1, 2001",28.17
"Dec 1, 2001",27.45
"Jan 1, 2002",27.81
"Feb 1, 2002",25.47
"Mar 1, 2002",32.94
"Apr 1, 2002",27.72
"May 1, 2002",28.26
"Jun 1, 2002",2.34
"Jul 1, 2002",0
"Aug 1, 2002",29.523
"Sep 1, 2002",0
"Oct 1, 2002",24.93
"Nov 1, 2002",19.17
"Dec 1, 2002",24.75
"Jan 1, 2003",24.21
"Feb 1, 2003",18.9
"Mar 1, 2003",22.863
"Apr 1, 2003",0
"May 1, 2003",26.553
"Jun 1, 2003",27.183
"Jul 1, 2003",32.874
"Aug 1, 2003",31.413
"Sep 1, 2003",20.97
"Oct 1, 2003",28.17
"Nov 1, 2003",24.75
"Dec 1, 2003",19.17
"Jan 1, 2004",34.324
"Feb 1, 2004",33.961
"Mar 1, 2004",24.12
"Apr 1, 2004",24.663
"May 1, 2004",29.824
"Jun 1, 2004",31.884
"Jul 1, 2004",31.791
"Aug 1, 2004",9.263
"Sep 1, 2004",30.233
"Oct 1, 2004",26.55
"Nov 1, 2004",23.94
"Dec 1, 2004",26.1
"Jan 1, 2005",27.45
"Feb 1, 2005",32.123
"Mar 1, 2005",32.964
"Apr 1, 2005",27.533
"May 1, 2005",29.973
"Jun 1, 2005",31.074
"Jul 1, 2005",31.341
"Aug 1, 2005",31.524
"Sep 1, 2005",31.704
"Oct 1, 2005",27.09
"Nov 1, 2005",26.01
"Dec 1, 2005",14.85
"Jan 1, 2006",28.17
"Feb 1, 2006",32.244
"Mar 1, 2006",34.944
"Apr 1, 2006",29.094
"May 1, 2006",31.434
"Jun 1, 2006",31.434
"Jul 1, 2006",34.224
"Aug 1, 2006",33.653
"Sep 1, 2006",31.503
"Oct 1, 2006",33.21
"Nov 1, 2006",28.62
"Dec 1, 2006",26.73
"Jan 1, 2007",27.63
"Feb 1, 2007",29.693
"Mar 1, 2007",34.29
"Apr 1, 2007",30.33
"May 1, 2007",30.69
"Jun 1, 2007",33.213
"Jul 1, 2007",31.593
"Aug 1, 2007",32.943
"Sep 1, 2007",32.49
"Oct 1, 2007",25.951
"Nov 1, 2007",19.44
"Dec 1, 2007",22.5
"Jan 1, 2008",21.804
"Feb 1, 2008",32.673
"Mar 1, 2008",27.54
"Apr 1, 2008",27.301
"May 1, 2008",29.613
"Jun 1, 2008",0.72
"Jul 1, 2008",30.6
"Aug 1, 2008",33.054
"Sep 1, 2008",31.05
"Oct 1, 2008",28.53
"Nov 1, 2008",22.5
"Dec 1, 2008",25.861
"Jan 1, 2009",26.37
"Feb 1, 2009",22.05
"Mar 1, 2009",29.814
"Apr 1, 2009",30.513
"May 1, 2009",32.074
"Jun 1, 2009",32.663
"Jul 1, 2009",33.411
"Aug 1, 2009",32.573
"Sep 1, 2009",30.51
"Oct 1, 2009",31.5
"Nov 1, 2009",26.82
"Dec 1, 2009",17.55
"Jan 1, 2010",23.13
"Feb 1, 2010",24.03
"Mar 1, 2010",25.2
"Apr 1, 2010",23.94
"May 1, 2010",27.81
"Jun 1, 2010",0
"Jul 1, 2010",30.78
"Aug 1, 2010",31.863
"Sep 1, 2010",29.79
"Oct 1, 2010",29.34
"Nov 1, 2010",24.48
"Dec 1, 2010",24.84
"Jan 1, 2011",23.49
"Feb 1, 2011",13.524
"Mar 1, 2011",35.64
"Apr 1, 2011",32.94
"May 1, 2011",29.97
"Jun 1, 2011",30.693
"Jul 1, 2011",33.48
"Aug 1, 2011",31.41
"Sep 1, 2011",30.78
"Oct 1, 2011",26.28
"Nov 1, 2011",24.12
"Dec 1, 2011",23.22
"Jan 1, 2012",34.47
"Feb 1, 2012",0.214
"Mar 1, 2012",38.88
"Apr 1, 2012",30.96
"May 1, 2012",31.981
"Jun 1, 2012",34.38
"Jul 1, 2012",32.13
"Aug 1, 2012",34.2
"Sep 1, 2012",23.4
"Oct 1, 2012",29.61
"Nov 1, 2012",21.78
"Dec 1, 2012",26.55
"Jan 1, 2013",33.954
"Feb 1, 2013",28.26
"Mar 1, 2013",20.52
"Apr 1, 2013",30.87
"May 1, 2013",33.771
"Jun 1, 2013",35.574
"Jul 1, 2013",36.021
