system:time_start,AreaWater
"Mar 1, 1984",0
"Apr 1, 1984",0
"May 1, 1984",0
"Jun 1, 1984",0
"Jul 1, 1984","1,186.65"
"Aug 1, 1984",0
"Sep 1, 1984",0
"Oct 1, 1984",0
"Nov 1, 1984",0
"Dec 1, 1984",0
"Jan 1, 1985",0
"Feb 1, 1985",0
"Mar 1, 1985","3,921.21"
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986","2,457.9"
"Mar 1, 1986",0
"Apr 1, 1986","2,043.27"
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986","1,135.71"
"Aug 1, 1986","1,076.49"
"Sep 1, 1986",847.71
"Oct 1, 1986",761.4
"Nov 1, 1986",390.15
"Dec 1, 1986",10.08
"Jan 1, 1987",0
"Feb 1, 1987","3,841.29"
"Mar 1, 1987",0
"Apr 1, 1987",530.19
"May 1, 1987",937.44
"Jun 1, 1987",454.59
"Jul 1, 1987",624.78
"Aug 1, 1987","1,043.55"
"Sep 1, 1987",829.17
"Oct 1, 1987",552.15
"Nov 1, 1987",544.41
"Dec 1, 1987",348.03
"Jan 1, 1988",455.94
"Feb 1, 1988","2,668.77"
"Mar 1, 1988",708.48
"Apr 1, 1988","1,631.43"
"May 1, 1988","1,040.13"
"Jun 1, 1988",808.38
"Jul 1, 1988",679.95
"Aug 1, 1988",812.79
"Sep 1, 1988",788.22
"Oct 1, 1988",416.97
"Nov 1, 1988",398.79
"Dec 1, 1988",0
"Jan 1, 1989",207.72
"Feb 1, 1989","1,950.21"
"Mar 1, 1989",0
"Apr 1, 1989",547.83
"May 1, 1989","1,086.3"
"Jun 1, 1989",0
"Jul 1, 1989",812.16
"Aug 1, 1989",823.23
"Sep 1, 1989",782.37
"Oct 1, 1989",0
"Nov 1, 1989",315.18
"Dec 1, 1989",306.99
"Jan 1, 1990","1,214.82"
"Feb 1, 1990","1,073.34"
"Mar 1, 1990","1,232.01"
"Apr 1, 1990","1,013.04"
"May 1, 1990",644.85
"Jun 1, 1990",992.07
"Jul 1, 1990",987.66
"Aug 1, 1990",972.09
"Sep 1, 1990",718.38
"Oct 1, 1990",349.65
"Nov 1, 1990",359.46
"Dec 1, 1990",0
"Jan 1, 1991","2,731.41"
"Feb 1, 1991","3,113.28"
"Mar 1, 1991","1,384.38"
"Apr 1, 1991","1,643.94"
"May 1, 1991",730.44
"Jun 1, 1991",914.4
"Jul 1, 1991",641.25
"Aug 1, 1991",396.18
"Sep 1, 1991",462.6
"Oct 1, 1991",0
"Nov 1, 1991",384.3
"Dec 1, 1991",370.71
"Jan 1, 1992","2,125.8"
"Feb 1, 1992","1,169.91"
"Mar 1, 1992",0
"Apr 1, 1992",268.92
"May 1, 1992",0
"Jun 1, 1992",309.69
"Jul 1, 1992",484.65
"Aug 1, 1992",390.69
"Sep 1, 1992",382.86
"Oct 1, 1992",528.66
"Nov 1, 1992",323.01
"Dec 1, 1992",509.22
"Jan 1, 1993","2,162.25"
"Feb 1, 1993","3,128.76"
"Mar 1, 1993","2,049.84"
"Apr 1, 1993",997.2
"May 1, 1993",815.67
"Jun 1, 1993",676.89
"Jul 1, 1993",886.41
"Aug 1, 1993",649.62
"Sep 1, 1993",996.57
"Oct 1, 1993",538.02
"Nov 1, 1993",386.55
"Dec 1, 1993",749.79
"Jan 1, 1994","1,999.89"
"Feb 1, 1994","3,252.69"
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994","1,637.46"
"Jun 1, 1994",866.34
"Jul 1, 1994",957.78
"Aug 1, 1994",631.71
"Sep 1, 1994",475.29
"Oct 1, 1994",590.67
"Nov 1, 1994",306.81
"Dec 1, 1994",633.87
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",894.42
"May 1, 1995",744.93
"Jun 1, 1995",763.83
"Jul 1, 1995",797.13
"Aug 1, 1995",626.04
"Sep 1, 1995",614.34
"Oct 1, 1995",358.74
"Nov 1, 1995",312.75
"Dec 1, 1995",496.35
"Jan 1, 1996","1,676.61"
"Feb 1, 1996",479.43
"Mar 1, 1996","2,611.17"
"Apr 1, 1996","1,579.32"
"May 1, 1996","1,098.99"
"Jun 1, 1996",0.27
"Jul 1, 1996",742.77
"Aug 1, 1996",760.59
"Sep 1, 1996",637.47
"Oct 1, 1996",402.93
"Nov 1, 1996",478.98
"Dec 1, 1996",359.28
"Jan 1, 1997",459.9
"Feb 1, 1997","2,874.06"
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997","1,871.91"
"Jun 1, 1997","1,017.45"
"Jul 1, 1997","1,040.22"
"Aug 1, 1997","1,155.42"
"Sep 1, 1997",638.91
"Oct 1, 1997",583.92
"Nov 1, 1997",436.59
"Dec 1, 1997",322.47
"Jan 1, 1998","2,608.56"
"Feb 1, 1998","2,813.85"
"Mar 1, 1998","1,372.59"
"Apr 1, 1998",572.4
"May 1, 1998",412.92
"Jun 1, 1998",677.16
"Jul 1, 1998","1,101.87"
"Aug 1, 1998",296.46
"Sep 1, 1998",654.21
"Oct 1, 1998",293.22
"Nov 1, 1998",270.27
"Dec 1, 1998",0.45
"Jan 1, 1999",355.23
"Feb 1, 1999","3,044.61"
"Mar 1, 1999","4,714.2"
"Apr 1, 1999","2,434.95"
"May 1, 1999","1,908.63"
"Jun 1, 1999",0
"Jul 1, 1999","1,382.94"
"Aug 1, 1999","1,166.13"
"Sep 1, 1999","1,025.73"
"Oct 1, 1999",667.35
"Nov 1, 1999",345.96
"Dec 1, 1999",367.29
"Jan 1, 2000","1,407.06"
"Feb 1, 2000","3,322.71"
"Mar 1, 2000","2,844.09"
"Apr 1, 2000","1,798.02"
"May 1, 2000","1,260.99"
"Jun 1, 2000",860.22
"Jul 1, 2000",988.65
"Aug 1, 2000",692.46
"Sep 1, 2000",501.21
"Oct 1, 2000",504.72
"Nov 1, 2000",581.76
"Dec 1, 2000",552.69
"Jan 1, 2001","2,595.96"
"Feb 1, 2001","5,584.14"
"Mar 1, 2001","4,131.99"
"Apr 1, 2001","5,352.03"
"May 1, 2001","3,201.93"
"Jun 1, 2001","2,353.86"
"Jul 1, 2001","1,797.39"
"Aug 1, 2001","1,155.15"
"Sep 1, 2001","1,568.07"
"Oct 1, 2001","1,160.73"
"Nov 1, 2001",722.34
"Dec 1, 2001",739.44
"Jan 1, 2002","1,363.23"
"Feb 1, 2002","1,966.59"
"Mar 1, 2002","3,258.09"
"Apr 1, 2002","1,958.94"
"May 1, 2002","1,630.53"
"Jun 1, 2002",641.88
"Jul 1, 2002",209.07
"Aug 1, 2002","1,003.32"
"Sep 1, 2002",0
"Oct 1, 2002",544.68
"Nov 1, 2002",314.73
"Dec 1, 2002",455.85
"Jan 1, 2003","1,818.9"
"Feb 1, 2003","1,003.32"
"Mar 1, 2003","2,085.39"
"Apr 1, 2003",0
"May 1, 2003","1,138.86"
"Jun 1, 2003",883.17
"Jul 1, 2003","1,262.7"
"Aug 1, 2003","1,001.97"
"Sep 1, 2003",767.43
"Oct 1, 2003",714.51
"Nov 1, 2003",395.46
"Dec 1, 2003",576
"Jan 1, 2004","3,169.62"
"Feb 1, 2004","3,873.51"
"Mar 1, 2004","3,105.72"
"Apr 1, 2004","2,159.64"
"May 1, 2004","1,331.1"
"Jun 1, 2004","1,054.71"
"Jul 1, 2004","1,344.69"
"Aug 1, 2004",112.68
"Sep 1, 2004","1,206.99"
"Oct 1, 2004",761.13
"Nov 1, 2004",410.04
"Dec 1, 2004","1,089.36"
"Jan 1, 2005","2,759.13"
"Feb 1, 2005","4,411.89"
"Mar 1, 2005","4,223.7"
"Apr 1, 2005","2,907.99"
"May 1, 2005","1,740.06"
"Jun 1, 2005","1,169.28"
"Jul 1, 2005","1,091.34"
"Aug 1, 2005",996.39
"Sep 1, 2005","1,221.57"
"Oct 1, 2005",898.11
"Nov 1, 2005",536.49
"Dec 1, 2005",852.66
"Jan 1, 2006","2,253.42"
"Feb 1, 2006","4,693.95"
"Mar 1, 2006","4,188.06"
"Apr 1, 2006","3,275.55"
"May 1, 2006","2,683.71"
"Jun 1, 2006","1,743.3"
"Jul 1, 2006","1,503.18"
"Aug 1, 2006","1,137.24"
"Sep 1, 2006",936.9
"Oct 1, 2006",984.6
"Nov 1, 2006",598.32
"Dec 1, 2006",874.8
"Jan 1, 2007","1,666.98"
"Feb 1, 2007","2,296.08"
"Mar 1, 2007","2,823.21"
"Apr 1, 2007","2,145.69"
"May 1, 2007","1,351.44"
"Jun 1, 2007",849.51
"Jul 1, 2007",935.73
"Aug 1, 2007",876.06
"Sep 1, 2007",779.58
"Oct 1, 2007",427.41
"Nov 1, 2007",349.02
"Dec 1, 2007",510.84
"Jan 1, 2008","3,707.55"
"Feb 1, 2008","4,272.93"
"Mar 1, 2008","2,966.04"
"Apr 1, 2008","1,788.66"
"May 1, 2008","1,040.49"
"Jun 1, 2008",147.06
"Jul 1, 2008",694.53
"Aug 1, 2008",948.78
"Sep 1, 2008",814.68
"Oct 1, 2008",580.41
"Nov 1, 2008",358.92
"Dec 1, 2008",507.15
"Jan 1, 2009","1,047.51"
"Feb 1, 2009","1,113.39"
"Mar 1, 2009","2,524.68"
"Apr 1, 2009","1,641.6"
"May 1, 2009","1,292.76"
"Jun 1, 2009",900.09
"Jul 1, 2009",820.17
"Aug 1, 2009",696.24
"Sep 1, 2009",744.93
"Oct 1, 2009",629.37
"Nov 1, 2009",468.45
"Dec 1, 2009",230.58
"Jan 1, 2010",865.71
"Feb 1, 2010",858.69
"Mar 1, 2010","1,429.47"
"Apr 1, 2010","1,125.72"
"May 1, 2010",881.46
"Jun 1, 2010",0
"Jul 1, 2010",453.33
"Aug 1, 2010",571.59
"Sep 1, 2010",573.3
"Oct 1, 2010",448.74
"Nov 1, 2010",314.37
"Dec 1, 2010",570.87
"Jan 1, 2011","1,118.25"
"Feb 1, 2011","3,084.66"
"Mar 1, 2011","3,314.79"
"Apr 1, 2011","2,032.02"
"May 1, 2011","1,174.32"
