system:time_start,AreaWater
"Mar 1, 1984",0
"Apr 1, 1984",0
"May 1, 1984",0
"Jun 1, 1984",0
"Jul 1, 1984",1.98
"Aug 1, 1984",0
"Sep 1, 1984",0
"Oct 1, 1984",0
"Nov 1, 1984",0
"Dec 1, 1984",0
"Jan 1, 1985",0
"Feb 1, 1985",0
"Mar 1, 1985",1.89
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0
"Mar 1, 1986",0
"Apr 1, 1986",0.72
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",1.71
"Aug 1, 1986",1.8
"Sep 1, 1986",0
"Oct 1, 1986",1.53
"Nov 1, 1986",1.53
"Dec 1, 1986",0
"Jan 1, 1987",0
"Feb 1, 1987",1.26
"Mar 1, 1987",0
"Apr 1, 1987",0.9
"May 1, 1987",1.44
"Jun 1, 1987",1.44
"Jul 1, 1987",0.09
"Aug 1, 1987",1.98
"Sep 1, 1987",1.8
"Oct 1, 1987",1.71
"Nov 1, 1987",1.62
"Dec 1, 1987",0.81
"Jan 1, 1988",0.72
"Feb 1, 1988",1.08
"Mar 1, 1988",0.81
"Apr 1, 1988",1.62
"May 1, 1988",1.44
"Jun 1, 1988",1.8
"Jul 1, 1988",1.98
"Aug 1, 1988",2.25
"Sep 1, 1988",1.98
"Oct 1, 1988",1.53
"Nov 1, 1988",1.17
"Dec 1, 1988",0
"Jan 1, 1989",2.07
"Feb 1, 1989",1.53
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",1.89
"Jun 1, 1989",0
"Jul 1, 1989",1.8
"Aug 1, 1989",1.89
"Sep 1, 1989",1.89
"Oct 1, 1989",0
"Nov 1, 1989",1.62
"Dec 1, 1989",2.16
"Jan 1, 1990",0
"Feb 1, 1990",0.9
"Mar 1, 1990",1.8
"Apr 1, 1990",2.07
"May 1, 1990",2.16
"Jun 1, 1990",1.98
"Jul 1, 1990",1.89
"Aug 1, 1990",1.89
"Sep 1, 1990",2.07
"Oct 1, 1990",1.8
"Nov 1, 1990",0.54
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",1.8
"Mar 1, 1991",0.36
"Apr 1, 1991",1.62
"May 1, 1991",1.71
"Jun 1, 1991",1.44
"Jul 1, 1991",1.98
"Aug 1, 1991",1.53
"Sep 1, 1991",1.71
"Oct 1, 1991",0
"Nov 1, 1991",1.62
"Dec 1, 1991",1.08
"Jan 1, 1992",1.98
"Feb 1, 1992",1.62
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",1.62
"Jul 1, 1992",1.98
"Aug 1, 1992",2.07
"Sep 1, 1992",1.8
"Oct 1, 1992",1.89
"Nov 1, 1992",1.8
"Dec 1, 1992",1.71
"Jan 1, 1993",0
"Feb 1, 1993",1.89
"Mar 1, 1993",1.8
"Apr 1, 1993",1.98
"May 1, 1993",1.44
"Jun 1, 1993",0.81
"Jul 1, 1993",2.07
"Aug 1, 1993",1.53
"Sep 1, 1993",1.98
"Oct 1, 1993",0.81
"Nov 1, 1993",0.54
"Dec 1, 1993",1.26
"Jan 1, 1994",0.36
"Feb 1, 1994",0.81
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0.72
"Jun 1, 1994",0.63
"Jul 1, 1994",0.63
"Aug 1, 1994",0.9
"Sep 1, 1994",0.63
"Oct 1, 1994",0.54
"Nov 1, 1994",0.54
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0.72
"May 1, 1995",1.08
"Jun 1, 1995",1.26
"Jul 1, 1995",1.44
"Aug 1, 1995",1.26
"Sep 1, 1995",1.53
"Oct 1, 1995",1.35
"Nov 1, 1995",0.63
"Dec 1, 1995",0.54
"Jan 1, 1996",1.17
"Feb 1, 1996",0
"Mar 1, 1996",2.07
"Apr 1, 1996",2.07
"May 1, 1996",1.89
"Jun 1, 1996",0
"Jul 1, 1996",1.62
"Aug 1, 1996",1.89
"Sep 1, 1996",2.07
"Oct 1, 1996",1.8
"Nov 1, 1996",1.44
"Dec 1, 1996",0.72
"Jan 1, 1997",0.18
"Feb 1, 1997",1.71
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",1.89
"Jun 1, 1997",1.8
"Jul 1, 1997",1.98
"Aug 1, 1997",2.43
"Sep 1, 1997",1.71
"Oct 1, 1997",2.25
"Nov 1, 1997",2.16
"Dec 1, 1997",1.98
"Jan 1, 1998",0
"Feb 1, 1998",1.71
"Mar 1, 1998",1.53
"Apr 1, 1998",1.71
"May 1, 1998",1.53
"Jun 1, 1998",0.9
"Jul 1, 1998",1.53
"Aug 1, 1998",0.54
"Sep 1, 1998",0.72
"Oct 1, 1998",0.45
"Nov 1, 1998",0
"Dec 1, 1998",0
"Jan 1, 1999",0.18
"Feb 1, 1999",0
"Mar 1, 1999",1.98
"Apr 1, 1999",0.99
"May 1, 1999",1.71
"Jun 1, 1999",0
"Jul 1, 1999",1.98
"Aug 1, 1999",1.89
"Sep 1, 1999",2.34
"Oct 1, 1999",1.89
"Nov 1, 1999",2.25
"Dec 1, 1999",2.25
"Jan 1, 2000",1.17
"Feb 1, 2000",1.89
"Mar 1, 2000",1.71
"Apr 1, 2000",1.89
"May 1, 2000",1.98
"Jun 1, 2000",1.8
"Jul 1, 2000",2.25
"Aug 1, 2000",2.16
"Sep 1, 2000",1.89
"Oct 1, 2000",2.34
"Nov 1, 2000",2.07
"Dec 1, 2000",1.98
"Jan 1, 2001",1.89
"Feb 1, 2001",1.62
"Mar 1, 2001",1.71
"Apr 1, 2001",1.89
"May 1, 2001",1.98
"Jun 1, 2001",1.89
"Jul 1, 2001",1.71
"Aug 1, 2001",1.71
"Sep 1, 2001",1.71
"Oct 1, 2001",1.8
"Nov 1, 2001",1.8
"Dec 1, 2001",2.07
"Jan 1, 2002",1.8
"Feb 1, 2002",1.53
"Mar 1, 2002",1.17
"Apr 1, 2002",1.53
"May 1, 2002",1.53
"Jun 1, 2002",0.9
"Jul 1, 2002",0
"Aug 1, 2002",1.53
"Sep 1, 2002",0
"Oct 1, 2002",1.35
"Nov 1, 2002",1.62
"Dec 1, 2002",1.8
"Jan 1, 2003",1.71
"Feb 1, 2003",0.99
"Mar 1, 2003",1.62
"Apr 1, 2003",0
"May 1, 2003",1.62
"Jun 1, 2003",1.44
"Jul 1, 2003",2.25
"Aug 1, 2003",1.8
"Sep 1, 2003",1.17
"Oct 1, 2003",1.98
"Nov 1, 2003",1.8
"Dec 1, 2003",1.62
"Jan 1, 2004",1.89
"Feb 1, 2004",1.08
"Mar 1, 2004",1.26
"Apr 1, 2004",1.71
"May 1, 2004",1.62
"Jun 1, 2004",1.8
"Jul 1, 2004",2.25
"Aug 1, 2004",0.18
"Sep 1, 2004",1.98
"Oct 1, 2004",1.98
"Nov 1, 2004",1.98
"Dec 1, 2004",1.89
"Jan 1, 2005",1.71
"Feb 1, 2005",1.8
"Mar 1, 2005",1.98
"Apr 1, 2005",1.71
"May 1, 2005",1.8
"Jun 1, 2005",1.89
"Jul 1, 2005",1.8
"Aug 1, 2005",2.07
"Sep 1, 2005",1.98
"Oct 1, 2005",1.98
"Nov 1, 2005",1.44
"Dec 1, 2005",1.26
"Jan 1, 2006",0
"Feb 1, 2006",1.8
"Mar 1, 2006",0.63
"Apr 1, 2006",1.35
"May 1, 2006",1.8
"Jun 1, 2006",1.98
"Jul 1, 2006",2.07
"Aug 1, 2006",1.62
"Sep 1, 2006",1.62
"Oct 1, 2006",1.89
"Nov 1, 2006",1.71
"Dec 1, 2006",1.89
"Jan 1, 2007",1.71
"Feb 1, 2007",1.98
"Mar 1, 2007",1.98
"Apr 1, 2007",1.53
"May 1, 2007",1.71
"Jun 1, 2007",1.8
"Jul 1, 2007",1.62
"Aug 1, 2007",1.71
"Sep 1, 2007",1.71
"Oct 1, 2007",1.71
"Nov 1, 2007",1.62
"Dec 1, 2007",1.53
"Jan 1, 2008",1.8
"Feb 1, 2008",1.53
"Mar 1, 2008",1.26
"Apr 1, 2008",1.44
"May 1, 2008",1.53
"Jun 1, 2008",0
"Jul 1, 2008",1.8
"Aug 1, 2008",1.89
"Sep 1, 2008",2.07
"Oct 1, 2008",1.89
"Nov 1, 2008",0.9
"Dec 1, 2008",1.26
"Jan 1, 2009",1.71
"Feb 1, 2009",1.44
"Mar 1, 2009",1.44
"Apr 1, 2009",2.34
"May 1, 2009",1.62
"Jun 1, 2009",1.53
"Jul 1, 2009",1.62
"Aug 1, 2009",1.89
"Sep 1, 2009",1.62
"Oct 1, 2009",1.89
"Nov 1, 2009",1.26
"Dec 1, 2009",0
"Jan 1, 2010",1.35
"Feb 1, 2010",0.99
"Mar 1, 2010",1.44
"Apr 1, 2010",1.35
"May 1, 2010",1.44
"Jun 1, 2010",0
"Jul 1, 2010",0.54
"Aug 1, 2010",0.99
"Sep 1, 2010",0.36
"Oct 1, 2010",0
"Nov 1, 2010",0
"Dec 1, 2010",0
"Jan 1, 2011",0.81
"Feb 1, 2011",0
"Mar 1, 2011",1.26
"Apr 1, 2011",1.62
"May 1, 2011",1.26
"Jun 1, 2011",1.71
"Jul 1, 2011",1.98
"Aug 1, 2011",2.07
"Sep 1, 2011",1.98
"Oct 1, 2011",1.62
"Nov 1, 2011",1.44
"Dec 1, 2011",1.35
"Jan 1, 2012",0.18
"Feb 1, 2012",0
"Mar 1, 2012",0
"Apr 1, 2012",1.53
"May 1, 2012",1.8
"Jun 1, 2012",1.98
"Jul 1, 2012",1.71
"Aug 1, 2012",1.8
"Sep 1, 2012",0.36
"Oct 1, 2012",0
"Nov 1, 2012",1.62
"Dec 1, 2012",0
"Jan 1, 2013",0.72
"Feb 1, 2013",0
"Mar 1, 2013",1.62
"Apr 1, 2013",2.43
"May 1, 2013",1.62
"Jun 1, 2013",1.89
"Jul 1, 2013",1.8
"Aug 1, 2013",1.98
"Sep 1, 2013",1.89
"Oct 1, 2013",0
