system:time_start,AreaWater
"Mar 1, 1984",0
"Apr 1, 1984",0
"May 1, 1984",0
"Jun 1, 1984",0
"Jul 1, 1984",382.849
"Aug 1, 1984",0
"Sep 1, 1984",0
"Oct 1, 1984",0
"Nov 1, 1984",0
"Dec 1, 1984",0
"Jan 1, 1985",0
"Feb 1, 1985",0
"Mar 1, 1985",430.777
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0.18
"Aug 1, 1985",0.18
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0.852
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0
"Mar 1, 1986",2.801
"Apr 1, 1986",591.457
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",642.739
"Aug 1, 1986",702.683
"Sep 1, 1986",691.706
"Oct 1, 1986",683.824
"Nov 1, 1986",606.435
"Dec 1, 1986",17.55
"Jan 1, 1987",5.354
"Feb 1, 1987",554.764
"Mar 1, 1987",0
"Apr 1, 1987",529.459
"May 1, 1987",461.419
"Jun 1, 1987",448.099
"Jul 1, 1987",1.89
"Aug 1, 1987",642.769
"Sep 1, 1987",573.379
"Oct 1, 1987",469.222
"Nov 1, 1987",420.963
"Dec 1, 1987",427.634
"Jan 1, 1988",321.244
"Feb 1, 1988",422.054
"Mar 1, 1988",403.687
"Apr 1, 1988",422.954
"May 1, 1988",380.419
"Jun 1, 1988",407.599
"Jul 1, 1988",411.739
"Aug 1, 1988",427.849
"Sep 1, 1988",454.039
"Oct 1, 1988",364.759
"Nov 1, 1988",381.679
"Dec 1, 1988",1.14
"Jan 1, 1989",402.18
"Feb 1, 1989",357.416
"Mar 1, 1989",399.967
"Apr 1, 1989",149.94
"May 1, 1989",401.85
"Jun 1, 1989",0
"Jul 1, 1989",338.951
"Aug 1, 1989",356.654
"Sep 1, 1989",390.289
"Oct 1, 1989",17.096
"Nov 1, 1989",319.18
"Dec 1, 1989",382.822
"Jan 1, 1990",302.569
"Feb 1, 1990",293.879
"Mar 1, 1990",50.31
"Apr 1, 1990",337.68
"May 1, 1990",354.795
"Jun 1, 1990",472.245
"Jul 1, 1990",385.544
"Aug 1, 1990",361.969
"Sep 1, 1990",369.322
"Oct 1, 1990",335.227
"Nov 1, 1990",334.44
"Dec 1, 1990",0
"Jan 1, 1991",119.16
"Feb 1, 1991",389.906
"Mar 1, 1991",458.179
"Apr 1, 1991",437.996
"May 1, 1991",389.239
"Jun 1, 1991",421.459
"Jul 1, 1991",431.984
"Aug 1, 1991",422.359
"Sep 1, 1991",421.687
"Oct 1, 1991",0
"Nov 1, 1991",390.469
"Dec 1, 1991",373.999
"Jan 1, 1992",398.929
"Feb 1, 1992",291.96
"Mar 1, 1992",0
"Apr 1, 1992",296.01
"May 1, 1992",0
"Jun 1, 1992",341.809
"Jul 1, 1992",374.209
"Aug 1, 1992",356.299
"Sep 1, 1992",368.449
"Oct 1, 1992",360.979
"Nov 1, 1992",373.759
"Dec 1, 1992",432.889
"Jan 1, 1993",327.78
"Feb 1, 1993",434.006
"Mar 1, 1993",326.096
"Apr 1, 1993",386.089
"May 1, 1993",393.829
"Jun 1, 1993",395.19
"Jul 1, 1993",410.629
"Aug 1, 1993",381.104
"Sep 1, 1993",472.282
"Oct 1, 1993",396.862
"Nov 1, 1993",382.36
"Dec 1, 1993",425.553
"Jan 1, 1994",257.272
"Feb 1, 1994",442.541
"Mar 1, 1994",0
"Apr 1, 1994",0.427
"May 1, 1994",441.044
"Jun 1, 1994",408.269
"Jul 1, 1994",496.03
"Aug 1, 1994",422.242
"Sep 1, 1994",412.874
"Oct 1, 1994",425.392
"Nov 1, 1994",375.877
"Dec 1, 1994",268.736
"Jan 1, 1995",38.79
"Feb 1, 1995",0
"Mar 1, 1995",394.717
"Apr 1, 1995",463.335
"May 1, 1995",434.666
"Jun 1, 1995",488.212
"Jul 1, 1995",426.296
"Aug 1, 1995",382.916
"Sep 1, 1995",410.084
"Oct 1, 1995",343.034
"Nov 1, 1995",331.793
"Dec 1, 1995",370.687
"Jan 1, 1996",300.134
"Feb 1, 1996",41.22
"Mar 1, 1996",424.519
"Apr 1, 1996",438.559
"May 1, 1996",383.264
"Jun 1, 1996",144
"Jul 1, 1996",375.963
"Aug 1, 1996",380.752
"Sep 1, 1996",370.567
"Oct 1, 1996",366.401
"Nov 1, 1996",424.462
"Dec 1, 1996",349.009
"Jan 1, 1997",387.944
"Feb 1, 1997",424.818
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",493.999
"Jun 1, 1997",456.559
"Jul 1, 1997",481.643
"Aug 1, 1997",515.2
"Sep 1, 1997",457.616
"Oct 1, 1997",377.426
"Nov 1, 1997",505.484
"Dec 1, 1997",388.687
"Jan 1, 1998",79.147
"Feb 1, 1998",408.716
"Mar 1, 1998",383.749
"Apr 1, 1998",428.404
"May 1, 1998",349.549
"Jun 1, 1998",373.627
"Jul 1, 1998",387.229
"Aug 1, 1998",317.654
"Sep 1, 1998",381.46
"Oct 1, 1998",344.752
"Nov 1, 1998",117.686
"Dec 1, 1998",354.28
"Jan 1, 1999",406.537
"Feb 1, 1999",303.964
"Mar 1, 1999",415.766
"Apr 1, 1999",448.672
"May 1, 1999",466.173
"Jun 1, 1999",417.82
"Jul 1, 1999",553.732
"Aug 1, 1999",612.322
"Sep 1, 1999",628.522
"Oct 1, 1999",517.004
"Nov 1, 1999",553.904
"Dec 1, 1999",509.152
"Jan 1, 2000",282.464
"Feb 1, 2000",556.042
"Mar 1, 2000",572.512
"Apr 1, 2000",610.184
"May 1, 2000",595.969
"Jun 1, 2000",595.054
"Jul 1, 2000",615.622
"Aug 1, 2000",563.602
"Sep 1, 2000",598.642
"Oct 1, 2000",538.334
"Nov 1, 2000",576.749
"Dec 1, 2000",486.161
"Jan 1, 2001",508.02
"Feb 1, 2001",677.216
"Mar 1, 2001",617.85
"Apr 1, 2001",809.692
"May 1, 2001",788.722
"Jun 1, 2001",798.442
"Jul 1, 2001",795.472
"Aug 1, 2001",516.37
"Sep 1, 2001",816.622
"Oct 1, 2001",772.072
"Nov 1, 2001",707.182
"Dec 1, 2001",624.554
"Jan 1, 2002",595.852
"Feb 1, 2002",505.132
"Mar 1, 2002",632.104
"Apr 1, 2002",708.566
"May 1, 2002",590.924
"Jun 1, 2002",435.517
"Jul 1, 2002",2.659
"Aug 1, 2002",744.063
"Sep 1, 2002",0
"Oct 1, 2002",696.104
"Nov 1, 2002",604.504
"Dec 1, 2002",516.266
"Jan 1, 2003",449.043
"Feb 1, 2003",315.232
"Mar 1, 2003",448.391
"Apr 1, 2003",1.879
"May 1, 2003",422.899
"Jun 1, 2003",449.936
"Jul 1, 2003",629.156
"Aug 1, 2003",547.612
"Sep 1, 2003",451.496
"Oct 1, 2003",486.097
"Nov 1, 2003",440.772
"Dec 1, 2003",297.814
"Jan 1, 2004",478.087
"Feb 1, 2004",585.416
"Mar 1, 2004",348.596
"Apr 1, 2004",530.719
"May 1, 2004",540.784
"Jun 1, 2004",547.233
"Jul 1, 2004",619.609
"Aug 1, 2004",309.277
"Sep 1, 2004",619.53
"Oct 1, 2004",511.645
"Nov 1, 2004",454.484
"Dec 1, 2004",472.706
"Jan 1, 2005",427.436
"Feb 1, 2005",412.807
"Mar 1, 2005",548.524
"Apr 1, 2005",609.019
"May 1, 2005",649.429
"Jun 1, 2005",648.979
"Jul 1, 2005",636.506
"Aug 1, 2005",666.434
"Sep 1, 2005",683.52
"Oct 1, 2005",597.39
"Nov 1, 2005",482.962
"Dec 1, 2005",144.202
"Jan 1, 2006",2.88
"Feb 1, 2006",675.949
"Mar 1, 2006",701.86
"Apr 1, 2006",717.164
"May 1, 2006",794.752
"Jun 1, 2006",801.952
"Jul 1, 2006",812.212
"Aug 1, 2006",795.112
"Sep 1, 2006",778.912
"Oct 1, 2006",756.862
"Nov 1, 2006",659.85
"Dec 1, 2006",620.344
"Jan 1, 2007",599.809
"Feb 1, 2007",536.857
"Mar 1, 2007",422.107
"Apr 1, 2007",633.967
"May 1, 2007",689.272
"Jun 1, 2007",733.372
"Jul 1, 2007",729.952
"Aug 1, 2007",764.692
"Sep 1, 2007",738.592
"Oct 1, 2007",670.99
"Nov 1, 2007",502.65
"Dec 1, 2007",525.15
"Jan 1, 2008",585.404
"Feb 1, 2008",683.947
"Mar 1, 2008",665.493
"Apr 1, 2008",621.487
"May 1, 2008",640.188
"Jun 1, 2008",261.832
"Jul 1, 2008",631.676
"Aug 1, 2008",681.162
"Sep 1, 2008",643.466
"Oct 1, 2008",588.66
"Nov 1, 2008",502.042
"Dec 1, 2008",496.879
"Jan 1, 2009",512.554
"Feb 1, 2009",520.057
"Mar 1, 2009",553.627
"Apr 1, 2009",550.368
"May 1, 2009",490.29
"Jun 1, 2009",480.476
"Jul 1, 2009",495.42
"Aug 1, 2009",515.486
"Sep 1, 2009",465.142
"Oct 1, 2009",475.766
"Nov 1, 2009",475.706
"Dec 1, 2009",294.019
"Jan 1, 2010",464.692
"Feb 1, 2010",346.346
"Mar 1, 2010",461.636
"Apr 1, 2010",406.244
"May 1, 2010",440.254
"Jun 1, 2010",129.78
"Jul 1, 2010",457.222
"Aug 1, 2010",470.594
"Sep 1, 2010",442.567
"Oct 1, 2010",429.948
"Nov 1, 2010",384.295
"Dec 1, 2010",454.2
"Jan 1, 2011",391.754
"Feb 1, 2011",404.059
"Mar 1, 2011",435.041
"Apr 1, 2011",515.474
"May 1, 2011",520.526
"Jun 1, 2011",534.637
"Jul 1, 2011",538.222
"Aug 1, 2011",531.776
"Sep 1, 2011",568.908
"Oct 1, 2011",468.96
"Nov 1, 2011",442.102
"Dec 1, 2011",394.027
"Jan 1, 2012",242.91
"Feb 1, 2012",75.188
"Mar 1, 2012",487.48
"Apr 1, 2012",519.689
"May 1, 2012",557.28
"Jun 1, 2012",631.597
"Jul 1, 2012",642.712
"Aug 1, 2012",735.592
"Sep 1, 2012",617.46
"Oct 1, 2012",568.192
"Nov 1, 2012",512.539
"Dec 1, 2012",460.08
"Jan 1, 2013",534.914
"Feb 1, 2013",293.04
"Mar 1, 2013",685.132
"Apr 1, 2013",742.012
"May 1, 2013",764.602
