year,clip
"1,984",293.044
"1,985",246.653
"1,986",236.71
"1,987",195.641
"1,988",200.314
"1,989",194.026
"1,990",170.168
"1,991",154.53
"1,992",145.32
"1,993",210.074
"1,994",210.792
"1,995",151.661
"1,996",172.372
"1,997",257.462
"1,998",180.928
"1,999",251.144
"2,000",221.611
"2,001",274.53
"2,002",214.677
"2,003",159.87
"2,004",191.379
"2,005",168.471
"2,006",219.659
"2,007",182.014
"2,008",228.511
"2,009",180.366
"2,010",146.201
"2,011",273.473
"2,012",410.106
"2,013",325.821
"2,014",257.333
"2,015",375.199
