system:time_start,AreaWater
"Jan 1, 1985",2.726
"Feb 1, 1985",0
"Mar 1, 1985",2.684
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.022
"Feb 1, 1986",2.692
"Mar 1, 1986",2.732
"Apr 1, 1986",2.885
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",2.865
"Sep 1, 1986",2.937
"Oct 1, 1986",0.011
"Nov 1, 1986",0
"Dec 1, 1986",2.872
"Jan 1, 1987",2.607
"Feb 1, 1987",0.19
"Mar 1, 1987",2.581
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",2.701
"Feb 1, 1998",2.673
"Mar 1, 1998",1.882
"Apr 1, 1998",2.723
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",2.858
"Sep 1, 1998",2.807
"Oct 1, 1998",2.899
"Nov 1, 1998",2.748
"Dec 1, 1998",2.591
"Jan 1, 1999",2.639
"Feb 1, 1999",2.522
"Mar 1, 1999",0
"Apr 1, 1999",2.503
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",2.949
"Sep 1, 1999",2.92
"Oct 1, 1999",2.838
"Nov 1, 1999",2.799
"Dec 1, 1999",2.774
"Jan 1, 2000",2.665
"Feb 1, 2000",2.739
"Mar 1, 2000",2.752
"Apr 1, 2000",2.722
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0
"Sep 1, 2000",0.162
"Oct 1, 2000",2.945
"Nov 1, 2000",0.398
"Dec 1, 2000",0.41
"Jan 1, 2001",0.296
"Feb 1, 2001",2.799
"Mar 1, 2001",2.944
"Apr 1, 2001",2.771
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",2.914
"Sep 1, 2001",2.867
"Oct 1, 2001",2.826
"Nov 1, 2001",2.775
"Dec 1, 2001",2.77
"Jan 1, 2002",2.627
"Feb 1, 2002",2.605
"Mar 1, 2002",2.812
"Apr 1, 2002",2.943
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",2.877
"Sep 1, 2002",0.124
"Oct 1, 2002",0.371
"Nov 1, 2002",2.907
"Dec 1, 2002",0
"Jan 1, 2003",2.873
"Feb 1, 2003",2.706
"Mar 1, 2003",2.658
"Apr 1, 2003",2.671
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",2.012
"Sep 1, 2003",0
"Oct 1, 2003",1.869
"Nov 1, 2003",2.821
"Dec 1, 2003",2.435
"Jan 1, 2004",2.793
"Feb 1, 2004",2.601
"Mar 1, 2004",2.663
"Apr 1, 2004",2.667
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",2.931
"Sep 1, 2004",2.93
"Oct 1, 2004",1.931
"Nov 1, 2004",2.917
"Dec 1, 2004",2.896
"Jan 1, 2005",2.921
"Feb 1, 2005",2.717
"Mar 1, 2005",2.951
"Apr 1, 2005",2.887
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",2.033
"Sep 1, 2005",2.868
"Oct 1, 2005",2.872
"Nov 1, 2005",2.547
"Dec 1, 2005",2.711
"Jan 1, 2006",2.854
"Feb 1, 2006",2.673
"Mar 1, 2006",2.152
"Apr 1, 2006",2.698
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",2.918
"Sep 1, 2006",2.924
"Oct 1, 2006",1.057
"Nov 1, 2006",2.941
"Dec 1, 2006",2.917
"Jan 1, 2007",2.82
"Feb 1, 2007",2.649
"Mar 1, 2007",2.668
"Apr 1, 2007",2.871
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",2.791
"Sep 1, 2007",2.953
"Oct 1, 2007",0.018
"Nov 1, 2007",2.897
"Dec 1, 2007",2.225
"Jan 1, 2008",2.724
"Feb 1, 2008",2.663
"Mar 1, 2008",2.622
"Apr 1, 2008",0.979
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",1.806
"Oct 1, 2008",2.844
"Nov 1, 2008",2.832
"Dec 1, 2008",2.822
"Jan 1, 2009",2.629
"Feb 1, 2009",2.52
"Mar 1, 2009",1.843
"Apr 1, 2009",2.936
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",2.349
"Sep 1, 2009",1.94
"Oct 1, 2009",1.02
"Nov 1, 2009",1.791
"Dec 1, 2009",2.935
"Jan 1, 2010",2.925
"Feb 1, 2010",2.565
"Mar 1, 2010",2.699
"Apr 1, 2010",2.128
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",1.838
"Sep 1, 2010",2.164
"Oct 1, 2010",2.935
"Nov 1, 2010",2.908
"Dec 1, 2010",0.013
"Jan 1, 2011",2.791
"Feb 1, 2011",2.684
"Mar 1, 2011",2.598
"Apr 1, 2011",1.811
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",2.815
"Sep 1, 2011",0.393
"Oct 1, 2011",2.716
"Nov 1, 2011",0
"Dec 1, 2011",1.639
"Jan 1, 2012",2.051
"Feb 1, 2012",2.782
"Mar 1, 2012",2.245
"Apr 1, 2012",2.088
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",1.942
"Sep 1, 2012",2.897
"Oct 1, 2012",1.929
"Nov 1, 2012",2.72
"Dec 1, 2012",0.007
"Jan 1, 2013",2.666
"Feb 1, 2013",1.985
"Mar 1, 2013",2.7
"Apr 1, 2013",2.062
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",1.746
"Sep 1, 2013",2.825
"Oct 1, 2013",2.894
"Nov 1, 2013",2.11
"Dec 1, 2013",2.768
"Jan 1, 2014",2.761
"Feb 1, 2014",2.866
"Mar 1, 2014",2.672
"Apr 1, 2014",2.942
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",2.949
"Sep 1, 2014",0
"Oct 1, 2014",2.95
"Nov 1, 2014",2.878
"Dec 1, 2014",2.78
"Jan 1, 2015",2.581
"Feb 1, 2015",2.172
"Mar 1, 2015",2.416
"Apr 1, 2015",2.406
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",0
