system:time_start,AreaWater
"Jan 1, 1985",4.352
"Feb 1, 1985",0
"Mar 1, 1985",4.329
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.051
"Feb 1, 1986",4.277
"Mar 1, 1986",4.357
"Apr 1, 1986",4.412
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",4.356
"Sep 1, 1986",4.442
"Oct 1, 1986",4.004
"Nov 1, 1986",0
"Dec 1, 1986",1.973
"Jan 1, 1987",4.33
"Feb 1, 1987",3.868
"Mar 1, 1987",4.253
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",4.355
"Feb 1, 1998",4.381
"Mar 1, 1998",0
"Apr 1, 1998",4.378
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",4.287
"Sep 1, 1998",4.284
"Oct 1, 1998",4.299
"Nov 1, 1998",3.513
"Dec 1, 1998",3.981
"Jan 1, 1999",4.186
"Feb 1, 1999",4.167
"Mar 1, 1999",0
"Apr 1, 1999",3.263
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",4.267
"Sep 1, 1999",4.158
"Oct 1, 1999",4.341
"Nov 1, 1999",4.223
"Dec 1, 1999",4.304
"Jan 1, 2000",4.179
"Feb 1, 2000",4.167
"Mar 1, 2000",4.15
"Apr 1, 2000",4.309
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0.953
"Sep 1, 2000",0
"Oct 1, 2000",4.37
"Nov 1, 2000",0
"Dec 1, 2000",0.012
"Jan 1, 2001",0.098
"Feb 1, 2001",4.376
"Mar 1, 2001",4.415
"Apr 1, 2001",4.416
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",4.415
"Sep 1, 2001",4.427
"Oct 1, 2001",4.399
"Nov 1, 2001",4.35
"Dec 1, 2001",4.387
"Jan 1, 2002",4.332
"Feb 1, 2002",4.309
"Mar 1, 2002",4.267
"Apr 1, 2002",4.297
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",2.87
"Sep 1, 2002",0.814
"Oct 1, 2002",0
"Nov 1, 2002",4.338
"Dec 1, 2002",3.4
"Jan 1, 2003",0.98
"Feb 1, 2003",4.342
"Mar 1, 2003",4.411
"Apr 1, 2003",4.389
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",3.109
"Sep 1, 2003",0
"Oct 1, 2003",2.605
"Nov 1, 2003",3.463
"Dec 1, 2003",0.704
"Jan 1, 2004",4.408
"Feb 1, 2004",4.381
"Mar 1, 2004",4.398
"Apr 1, 2004",2.559
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",4.421
"Sep 1, 2004",4.4
"Oct 1, 2004",2.834
"Nov 1, 2004",4.379
"Dec 1, 2004",4.369
"Jan 1, 2005",4.386
"Feb 1, 2005",4.421
"Mar 1, 2005",4.408
"Apr 1, 2005",4.091
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0.055
"Sep 1, 2005",4.411
"Oct 1, 2005",3.121
"Nov 1, 2005",4.287
"Dec 1, 2005",4.133
"Jan 1, 2006",4.376
"Feb 1, 2006",4.39
"Mar 1, 2006",4.062
"Apr 1, 2006",4.388
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",2.63
"Sep 1, 2006",0.146
"Oct 1, 2006",2.775
"Nov 1, 2006",4.399
"Dec 1, 2006",2.838
"Jan 1, 2007",4.41
"Feb 1, 2007",4.274
"Mar 1, 2007",4.348
"Apr 1, 2007",4.41
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",4.055
"Sep 1, 2007",4.269
"Oct 1, 2007",0.469
"Nov 1, 2007",4.301
"Dec 1, 2007",3.575
"Jan 1, 2008",3.726
"Feb 1, 2008",4.382
"Mar 1, 2008",3.702
"Apr 1, 2008",2.553
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",4.036
"Oct 1, 2008",4.11
"Nov 1, 2008",4.405
"Dec 1, 2008",4.386
"Jan 1, 2009",4.355
"Feb 1, 2009",4.055
"Mar 1, 2009",2.998
"Apr 1, 2009",4.341
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",2.364
"Sep 1, 2009",3.788
"Oct 1, 2009",0.651
"Nov 1, 2009",0.766
"Dec 1, 2009",4.386
"Jan 1, 2010",4.4
"Feb 1, 2010",4.211
"Mar 1, 2010",4.429
"Apr 1, 2010",3.627
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",2.557
"Sep 1, 2010",0.272
"Oct 1, 2010",4.334
"Nov 1, 2010",4.348
"Dec 1, 2010",1.679
"Jan 1, 2011",4.392
"Feb 1, 2011",4.396
"Mar 1, 2011",4.386
"Apr 1, 2011",0.617
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",2.94
"Sep 1, 2011",0.365
"Oct 1, 2011",4.402
"Nov 1, 2011",0.018
"Dec 1, 2011",2.619
"Jan 1, 2012",3.921
"Feb 1, 2012",4.044
"Mar 1, 2012",4.057
"Apr 1, 2012",4.121
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",2.798
"Sep 1, 2012",4.194
"Oct 1, 2012",2.772
"Nov 1, 2012",4.262
"Dec 1, 2012",0
"Jan 1, 2013",4.347
"Feb 1, 2013",3.556
"Mar 1, 2013",4.321
"Apr 1, 2013",3.524
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0.007
"Sep 1, 2013",4.434
"Oct 1, 2013",4.439
"Nov 1, 2013",2.848
"Dec 1, 2013",4.401
"Jan 1, 2014",4.372
"Feb 1, 2014",4.35
"Mar 1, 2014",3.75
"Apr 1, 2014",4.41
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",4.426
"Sep 1, 2014",4.381
"Oct 1, 2014",4.4
"Nov 1, 2014",4.373
"Dec 1, 2014",4.014
"Jan 1, 2015",3.754
"Feb 1, 2015",4.234
"Mar 1, 2015",4.278
"Apr 1, 2015",4.241
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",0
"Sep 1, 2015",4.43
"Oct 1, 2015",4.404
