system:time_start,AreaWater
"Jan 1, 1985",1.386
"Feb 1, 1985",0
"Mar 1, 1985",1.35
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.071
"Feb 1, 1986",1.369
"Mar 1, 1986",1.379
"Apr 1, 1986",1.458
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",1.381
"Sep 1, 1986",1.371
"Oct 1, 1986",0.029
"Nov 1, 1986",0
"Dec 1, 1986",0.969
"Jan 1, 1987",1.04
"Feb 1, 1987",1.339
"Mar 1, 1987",1.423
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",1.345
"Feb 1, 1998",1.317
"Mar 1, 1998",0
"Apr 1, 1998",1.402
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",1.282
"Sep 1, 1998",1.337
"Oct 1, 1998",1.349
"Nov 1, 1998",0.036
"Dec 1, 1998",1.314
"Jan 1, 1999",1.384
"Feb 1, 1999",1.337
"Mar 1, 1999",0
"Apr 1, 1999",1.288
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",1.424
"Sep 1, 1999",1.041
"Oct 1, 1999",1.373
"Nov 1, 1999",1.347
"Dec 1, 1999",1.308
"Jan 1, 2000",1.321
"Feb 1, 2000",1.321
"Mar 1, 2000",1.316
"Apr 1, 2000",1.333
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",1.281
"Sep 1, 2000",0
"Oct 1, 2000",1.305
"Nov 1, 2000",0
"Dec 1, 2000",0
"Jan 1, 2001",0.164
"Feb 1, 2001",1.379
"Mar 1, 2001",1.35
"Apr 1, 2001",1.373
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",1.326
"Sep 1, 2001",1.289
"Oct 1, 2001",0.151
"Nov 1, 2001",0.495
"Dec 1, 2001",1.337
"Jan 1, 2002",1.318
"Feb 1, 2002",1.35
"Mar 1, 2002",1.291
"Apr 1, 2002",1.313
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",1.279
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0.787
"Dec 1, 2002",0
"Jan 1, 2003",0.575
"Feb 1, 2003",1.315
"Mar 1, 2003",1.35
"Apr 1, 2003",1.273
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",1.01
"Sep 1, 2003",0
"Oct 1, 2003",0.125
"Nov 1, 2003",0
"Dec 1, 2003",0.043
"Jan 1, 2004",1.373
"Feb 1, 2004",1.371
"Mar 1, 2004",1.374
"Apr 1, 2004",0
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",1.34
"Sep 1, 2004",1.285
"Oct 1, 2004",0.154
"Nov 1, 2004",1.317
"Dec 1, 2004",1.309
"Jan 1, 2005",1.351
"Feb 1, 2005",1.399
"Mar 1, 2005",1.385
"Apr 1, 2005",1.285
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0.785
"Sep 1, 2005",1.306
"Oct 1, 2005",0
"Nov 1, 2005",1.16
"Dec 1, 2005",0.641
"Jan 1, 2006",1.337
"Feb 1, 2006",1.347
"Mar 1, 2006",1.055
"Apr 1, 2006",1.352
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.677
"Sep 1, 2006",0
"Oct 1, 2006",0
"Nov 1, 2006",1.261
"Dec 1, 2006",0.759
"Jan 1, 2007",1.327
"Feb 1, 2007",1.185
"Mar 1, 2007",0.974
"Apr 1, 2007",1.344
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0.993
"Sep 1, 2007",1.201
"Oct 1, 2007",0.002
"Nov 1, 2007",1.174
"Dec 1, 2007",1.067
"Jan 1, 2008",0.787
"Feb 1, 2008",1.398
"Mar 1, 2008",1.181
"Apr 1, 2008",0.901
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",1.237
"Oct 1, 2008",1.335
"Nov 1, 2008",1.324
"Dec 1, 2008",1.367
"Jan 1, 2009",1.359
"Feb 1, 2009",0.836
"Mar 1, 2009",1.246
"Apr 1, 2009",1.35
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.391
"Sep 1, 2009",1.298
"Oct 1, 2009",0.281
"Nov 1, 2009",0.035
"Dec 1, 2009",1.371
"Jan 1, 2010",1.334
"Feb 1, 2010",1.322
"Mar 1, 2010",1.328
"Apr 1, 2010",1.006
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.778
"Sep 1, 2010",0.833
"Oct 1, 2010",1.205
"Nov 1, 2010",1.315
"Dec 1, 2010",0
"Jan 1, 2011",1.361
"Feb 1, 2011",1.356
"Mar 1, 2011",1.314
"Apr 1, 2011",0.451
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",0.744
"Sep 1, 2011",0.143
"Oct 1, 2011",1.32
"Nov 1, 2011",0
"Dec 1, 2011",0.873
"Jan 1, 2012",1.269
"Feb 1, 2012",1.325
"Mar 1, 2012",1.313
"Apr 1, 2012",1.289
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0.961
"Sep 1, 2012",0.858
"Oct 1, 2012",0.89
"Nov 1, 2012",1.252
"Dec 1, 2012",0.054
"Jan 1, 2013",1.288
"Feb 1, 2013",1.133
"Mar 1, 2013",1.334
"Apr 1, 2013",0.907
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0.053
"Sep 1, 2013",1.313
"Oct 1, 2013",1.337
"Nov 1, 2013",0.798
"Dec 1, 2013",1.352
"Jan 1, 2014",1.349
"Feb 1, 2014",1.328
"Mar 1, 2014",1.242
"Apr 1, 2014",1.357
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",1.332
"Sep 1, 2014",1.301
"Oct 1, 2014",1.319
"Nov 1, 2014",1.294
"Dec 1, 2014",1.24
"Jan 1, 2015",0.96
"Feb 1, 2015",1.3
"Mar 1, 2015",1.367
"Apr 1, 2015",1.317
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",0
"Sep 1, 2015",1.311
"Oct 1, 2015",1.31
