system:time_start,AreaWater
"Jan 1, 1985",1.13
"Feb 1, 1985",0
"Mar 1, 1985",1.14
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0.21
"Mar 1, 1986",1.196
"Apr 1, 1986",1.23
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0.523
"Sep 1, 1986",0.01
"Oct 1, 1986",0.07
"Nov 1, 1986",0.001
"Dec 1, 1986",1.138
"Jan 1, 1987",1.089
"Feb 1, 1987",0
"Mar 1, 1987",0.152
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",1.084
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",1.108
"Mar 1, 1998",1.149
"Apr 1, 1998",0.112
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0
