system:time_start,AreaWater
"Jan 1, 1985",44.742
"Feb 1, 1985",0
"Mar 1, 1985",44.824
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.042
"Feb 1, 1986",13.47
"Mar 1, 1986",45.032
"Apr 1, 1986",45.269
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",45.561
"Sep 1, 1986",45.106
"Oct 1, 1986",44.759
"Nov 1, 1986",6.5
"Dec 1, 1986",44.901
"Jan 1, 1987",44.201
"Feb 1, 1987",23.146
"Mar 1, 1987",33.353
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",43.484
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",3.36
"Feb 1, 1998",44.588
"Mar 1, 1998",44.727
"Apr 1, 1998",8.093
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0
"Sep 1, 1998",45.584
"Oct 1, 1998",44.953
"Nov 1, 1998",44.344
"Dec 1, 1998",38.149
"Jan 1, 1999",45.206
"Feb 1, 1999",44.686
"Mar 1, 1999",44.687
"Apr 1, 1999",45.359
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",45.552
"Sep 1, 1999",29.175
"Oct 1, 1999",45.095
"Nov 1, 1999",42.719
"Dec 1, 1999",45.073
"Jan 1, 2000",43.021
"Feb 1, 2000",44.624
"Mar 1, 2000",4.447
"Apr 1, 2000",44.568
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",42.971
"Sep 1, 2000",42.019
"Oct 1, 2000",40.041
"Nov 1, 2000",44.352
"Dec 1, 2000",30.358
"Jan 1, 2001",26.385
"Feb 1, 2001",43.542
"Mar 1, 2001",45.155
"Apr 1, 2001",45.297
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",45.213
"Sep 1, 2001",45.141
"Oct 1, 2001",45.118
"Nov 1, 2001",42.446
"Dec 1, 2001",44.974
"Jan 1, 2002",45.034
"Feb 1, 2002",44.817
"Mar 1, 2002",44.73
"Apr 1, 2002",44.435
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",45.177
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",44.691
"Dec 1, 2002",44.59
"Jan 1, 2003",44.142
"Feb 1, 2003",44.554
"Mar 1, 2003",44.207
"Apr 1, 2003",44.809
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",32.51
"Sep 1, 2003",0
"Oct 1, 2003",39.882
"Nov 1, 2003",23.726
"Dec 1, 2003",44.772
"Jan 1, 2004",44.744
"Feb 1, 2004",45.012
"Mar 1, 2004",45.148
"Apr 1, 2004",18.275
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",45.291
"Sep 1, 2004",40.195
"Oct 1, 2004",10.568
