system:time_start,AreaWater
"Jan 1, 1985",1.897
"Feb 1, 1985",0
"Mar 1, 1985",1.9
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.839
"Feb 1, 1986",1.896
"Mar 1, 1986",1.912
"Apr 1, 1986",1.938
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",1.941
"Sep 1, 1986",1.941
"Oct 1, 1986",0.048
"Nov 1, 1986",0
"Dec 1, 1986",1.918
"Jan 1, 1987",0.33
"Feb 1, 1987",1.887
"Mar 1, 1987",1.926
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",1.896
"Feb 1, 1998",1.958
"Mar 1, 1998",0.571
"Apr 1, 1998",1.933
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",1.911
"Sep 1, 1998",1.946
"Oct 1, 1998",1.958
"Nov 1, 1998",1.899
"Dec 1, 1998",1.944
"Jan 1, 1999",1.937
"Feb 1, 1999",1.887
"Mar 1, 1999",0
"Apr 1, 1999",1.405
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",1.933
"Sep 1, 1999",1.884
"Oct 1, 1999",1.924
"Nov 1, 1999",1.906
"Dec 1, 1999",1.927
"Jan 1, 2000",1.88
"Feb 1, 2000",1.865
"Mar 1, 2000",1.868
"Apr 1, 2000",1.895
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",1.742
"Sep 1, 2000",1.607
"Oct 1, 2000",1.909
"Nov 1, 2000",0.897
"Dec 1, 2000",0
"Jan 1, 2001",0
"Feb 1, 2001",1.93
"Mar 1, 2001",1.926
"Apr 1, 2001",1.912
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",1.904
"Sep 1, 2001",1.916
"Oct 1, 2001",1.907
"Nov 1, 2001",1.86
"Dec 1, 2001",1.904
"Jan 1, 2002",1.861
"Feb 1, 2002",1.919
"Mar 1, 2002",0.562
"Apr 1, 2002",1.888
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0.358
"Sep 1, 2002",0.913
"Oct 1, 2002",0.32
"Nov 1, 2002",0.33
"Dec 1, 2002",0
"Jan 1, 2003",1.732
"Feb 1, 2003",1.877
"Mar 1, 2003",1.916
"Apr 1, 2003",1.909
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",1.171
"Sep 1, 2003",0
"Oct 1, 2003",1.902
"Nov 1, 2003",1.622
"Dec 1, 2003",1.137
"Jan 1, 2004",1.934
"Feb 1, 2004",1.923
"Mar 1, 2004",1.934
"Apr 1, 2004",1.888
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",1.92
"Sep 1, 2004",1.912
"Oct 1, 2004",1.396
"Nov 1, 2004",1.903
"Dec 1, 2004",1.9
"Jan 1, 2005",1.897
"Feb 1, 2005",1.938
"Mar 1, 2005",1.933
"Apr 1, 2005",1.227
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",1.133
"Sep 1, 2005",1.932
"Oct 1, 2005",1.919
"Nov 1, 2005",1.418
"Dec 1, 2005",1.826
"Jan 1, 2006",1.889
"Feb 1, 2006",1.926
"Mar 1, 2006",1.756
"Apr 1, 2006",1.926
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",1.899
"Sep 1, 2006",1.914
"Oct 1, 2006",1.391
"Nov 1, 2006",1.925
"Dec 1, 2006",1.912
"Jan 1, 2007",1.924
"Feb 1, 2007",1.906
"Mar 1, 2007",1.933
"Apr 1, 2007",1.936
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",1.653
"Sep 1, 2007",1.919
"Oct 1, 2007",0.074
"Nov 1, 2007",1.893
"Dec 1, 2007",1.872
"Jan 1, 2008",1.916
"Feb 1, 2008",1.937
"Mar 1, 2008",1.462
"Apr 1, 2008",1.863
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",1.371
"Oct 1, 2008",1.943
"Nov 1, 2008",1.907
"Dec 1, 2008",1.925
"Jan 1, 2009",1.917
"Feb 1, 2009",1.908
"Mar 1, 2009",1.887
"Apr 1, 2009",1.937
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",1.751
"Sep 1, 2009",1.29
