system:time_start,AreaWater
"Jan 1, 1985",0.582
"Feb 1, 1985",0
"Mar 1, 1985",0.571
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.167
"Feb 1, 1986",0
"Mar 1, 1986",0.591
"Apr 1, 1986",0.605
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0.61
"Sep 1, 1986",0.599
"Oct 1, 1986",0.476
"Nov 1, 1986",0
"Dec 1, 1986",0.588
"Jan 1, 1987",0.566
"Feb 1, 1987",0.546
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0.055
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",0.588
"Mar 1, 1998",0
"Apr 1, 1998",0.597
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0.182
"Sep 1, 1998",0.591
"Oct 1, 1998",0
"Nov 1, 1998",0.101
"Dec 1, 1998",0
"Jan 1, 1999",0.592
"Feb 1, 1999",0.572
"Mar 1, 1999",0
"Apr 1, 1999",0.013
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",0.619
"Sep 1, 1999",0
"Oct 1, 1999",0.575
"Nov 1, 1999",0.598
"Dec 1, 1999",0.584
"Jan 1, 2000",0.197
"Feb 1, 2000",0.532
"Mar 1, 2000",0.509
"Apr 1, 2000",0.559
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0.588
"Sep 1, 2000",0
"Oct 1, 2000",0.573
"Nov 1, 2000",0
"Dec 1, 2000",0
"Jan 1, 2001",0.027
"Feb 1, 2001",0
"Mar 1, 2001",0.612
"Apr 1, 2001",0.592
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0.586
"Sep 1, 2001",0.583
"Oct 1, 2001",0.598
"Nov 1, 2001",0.574
"Dec 1, 2001",0.602
"Jan 1, 2002",0.574
"Feb 1, 2002",0.576
"Mar 1, 2002",0.536
"Apr 1, 2002",0
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0.614
"Sep 1, 2002",0.012
"Oct 1, 2002",0
"Nov 1, 2002",0
"Dec 1, 2002",0.021
"Jan 1, 2003",0.413
"Feb 1, 2003",0.566
"Mar 1, 2003",0.569
"Apr 1, 2003",0.575
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0.533
"Sep 1, 2003",0
"Oct 1, 2003",0.5
"Nov 1, 2003",0.043
"Dec 1, 2003",0.116
"Jan 1, 2004",0.6
"Feb 1, 2004",0.536
"Mar 1, 2004",0.602
"Apr 1, 2004",0.076
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",0.607
"Sep 1, 2004",0.603
"Oct 1, 2004",0.595
"Nov 1, 2004",0.595
"Dec 1, 2004",0.588
"Jan 1, 2005",0.579
"Feb 1, 2005",0.587
"Mar 1, 2005",0.587
"Apr 1, 2005",0.539
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0.604
"Sep 1, 2005",0.232
"Oct 1, 2005",0.493
"Nov 1, 2005",0.352
"Dec 1, 2005",0.317
"Jan 1, 2006",0.415
"Feb 1, 2006",0.579
"Mar 1, 2006",0.535
"Apr 1, 2006",0.27
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.043
"Sep 1, 2006",0
"Oct 1, 2006",0.494
"Nov 1, 2006",0.592
"Dec 1, 2006",0.461
"Jan 1, 2007",0.578
"Feb 1, 2007",0.599
"Mar 1, 2007",0.576
"Apr 1, 2007",0.507
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0.614
"Sep 1, 2007",0.603
"Oct 1, 2007",0.48
"Nov 1, 2007",0.566
"Dec 1, 2007",0.386
"Jan 1, 2008",0.432
"Feb 1, 2008",0.58
"Mar 1, 2008",0.459
"Apr 1, 2008",0.016
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",0.577
"Oct 1, 2008",0.361
"Nov 1, 2008",0.59
"Dec 1, 2008",0.57
"Jan 1, 2009",0.582
"Feb 1, 2009",0.309
"Mar 1, 2009",0.381
"Apr 1, 2009",0.478
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.5
"Sep 1, 2009",0
"Oct 1, 2009",0.107
"Nov 1, 2009",0.351
"Dec 1, 2009",0.583
"Jan 1, 2010",0.593
"Feb 1, 2010",0.572
"Mar 1, 2010",0.451
"Apr 1, 2010",0.562
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.381
"Sep 1, 2010",0
"Oct 1, 2010",0.578
"Nov 1, 2010",0.572
"Dec 1, 2010",0.488
"Jan 1, 2011",0.583
"Feb 1, 2011",0.603
"Mar 1, 2011",0
"Apr 1, 2011",0.549
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",0.401
"Sep 1, 2011",0.426
"Oct 1, 2011",0.588
"Nov 1, 2011",0
"Dec 1, 2011",0.254
"Jan 1, 2012",0.576
"Feb 1, 2012",0.565
"Mar 1, 2012",0.355
"Apr 1, 2012",0.573
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0.33
"Sep 1, 2012",0.478
"Oct 1, 2012",0.3
"Nov 1, 2012",0.322
"Dec 1, 2012",0
"Jan 1, 2013",0.562
"Feb 1, 2013",0.463
"Mar 1, 2013",0.4
"Apr 1, 2013",0.125
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0.603
"Sep 1, 2013",0.612
"Oct 1, 2013",0.603
"Nov 1, 2013",0.128
"Dec 1, 2013",0.593
"Jan 1, 2014",0.39
"Feb 1, 2014",0.606
"Mar 1, 2014",0.585
"Apr 1, 2014",0.352
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",0.609
"Sep 1, 2014",0
"Oct 1, 2014",0.61
"Nov 1, 2014",0.603
"Dec 1, 2014",0.396
"Jan 1, 2015",0.563
"Feb 1, 2015",0.37
"Mar 1, 2015",0.607
"Apr 1, 2015",0.58
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",0.609
"Sep 1, 2015",0.612
"Oct 1, 2015",0.607
