system:time_start,AreaWater
"Jan 1, 1985",0.206
"Feb 1, 1985",0
"Mar 1, 1985",0.203
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.001
"Feb 1, 1986",0.206
"Mar 1, 1986",0.206
"Apr 1, 1986",0.171
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0.201
"Sep 1, 1986",0.203
"Oct 1, 1986",0.138
"Nov 1, 1986",0
"Dec 1, 1986",0.208
"Jan 1, 1987",0.206
"Feb 1, 1987",0.001
"Mar 1, 1987",0.204
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0.205
"Feb 1, 1998",0.208
"Mar 1, 1998",0.006
"Apr 1, 1998",0.207
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0.202
"Sep 1, 1998",0.203
"Oct 1, 1998",0.203
"Nov 1, 1998",0.177
"Dec 1, 1998",0.201
"Jan 1, 1999",0.206
"Feb 1, 1999",0.203
"Mar 1, 1999",0
"Apr 1, 1999",0.204
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",0.205
"Sep 1, 1999",0.109
"Oct 1, 1999",0.206
"Nov 1, 1999",0.206
"Dec 1, 1999",0.208
"Jan 1, 2000",0.199
"Feb 1, 2000",0.197
"Mar 1, 2000",0.192
"Apr 1, 2000",0.199
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0
"Sep 1, 2000",0
"Oct 1, 2000",0.205
"Nov 1, 2000",0
"Dec 1, 2000",0
"Jan 1, 2001",0.004
"Feb 1, 2001",0.205
"Mar 1, 2001",0.206
"Apr 1, 2001",0.206
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0.208
"Sep 1, 2001",0.205
"Oct 1, 2001",0.205
"Nov 1, 2001",0.206
"Dec 1, 2001",0.208
"Jan 1, 2002",0.207
"Feb 1, 2002",0.202
"Mar 1, 2002",0.134
"Apr 1, 2002",0.199
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0.013
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0.2
"Dec 1, 2002",0.071
"Jan 1, 2003",0.006
"Feb 1, 2003",0.199
"Mar 1, 2003",0.201
"Apr 1, 2003",0.202
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0
"Sep 1, 2003",0
"Oct 1, 2003",0.13
"Nov 1, 2003",0.108
"Dec 1, 2003",0.018
"Jan 1, 2004",0.208
"Feb 1, 2004",0.141
"Mar 1, 2004",0.205
"Apr 1, 2004",0.207
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",0.207
"Sep 1, 2004",0.208
"Oct 1, 2004",0.13
"Nov 1, 2004",0.204
"Dec 1, 2004",0.204
"Jan 1, 2005",0.206
"Feb 1, 2005",0.205
"Mar 1, 2005",0.206
"Apr 1, 2005",0.021
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0
"Sep 1, 2005",0.202
"Oct 1, 2005",0.128
"Nov 1, 2005",0.157
"Dec 1, 2005",0.199
"Jan 1, 2006",0.204
"Feb 1, 2006",0.208
"Mar 1, 2006",0.136
"Apr 1, 2006",0.206
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.07
"Sep 1, 2006",0.154
"Oct 1, 2006",0
"Nov 1, 2006",0.208
"Dec 1, 2006",0.014
"Jan 1, 2007",0.207
"Feb 1, 2007",0.198
"Mar 1, 2007",0.203
"Apr 1, 2007",0.207
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0.111
"Sep 1, 2007",0.205
"Oct 1, 2007",0
"Nov 1, 2007",0.202
"Dec 1, 2007",0.2
"Jan 1, 2008",0.208
"Feb 1, 2008",0.208
"Mar 1, 2008",0.113
"Apr 1, 2008",0.187
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",0.186
"Oct 1, 2008",0.208
"Nov 1, 2008",0.206
"Dec 1, 2008",0.208
"Jan 1, 2009",0.207
"Feb 1, 2009",0.148
"Mar 1, 2009",0.147
"Apr 1, 2009",0.203
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0
"Sep 1, 2009",0.203
"Oct 1, 2009",0.08
"Nov 1, 2009",0.028
"Dec 1, 2009",0.201
"Jan 1, 2010",0.204
"Feb 1, 2010",0.189
"Mar 1, 2010",0.205
"Apr 1, 2010",0.167
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.123
"Sep 1, 2010",0
"Oct 1, 2010",0.206
"Nov 1, 2010",0.199
"Dec 1, 2010",0
"Jan 1, 2011",0.206
"Feb 1, 2011",0.205
"Mar 1, 2011",0.197
"Apr 1, 2011",0.115
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",0.13
"Sep 1, 2011",0.001
"Oct 1, 2011",0.193
"Nov 1, 2011",0
"Dec 1, 2011",0.095
"Jan 1, 2012",0.143
"Feb 1, 2012",0.179
"Mar 1, 2012",0.177
"Apr 1, 2012",0.173
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0.136
"Sep 1, 2012",0.138
"Oct 1, 2012",0.134
"Nov 1, 2012",0.201
"Dec 1, 2012",0
"Jan 1, 2013",0.196
"Feb 1, 2013",0.143
"Mar 1, 2013",0.143
"Apr 1, 2013",0.142
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0
"Sep 1, 2013",0.207
"Oct 1, 2013",0.205
"Nov 1, 2013",0.133
"Dec 1, 2013",0.208
"Jan 1, 2014",0.207
"Feb 1, 2014",0.206
"Mar 1, 2014",0.199
"Apr 1, 2014",0.208
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",0.207
"Sep 1, 2014",0
"Oct 1, 2014",0.206
"Nov 1, 2014",0.154
"Dec 1, 2014",0.194
"Jan 1, 2015",0.203
"Feb 1, 2015",0.15
"Mar 1, 2015",0.208
"Apr 1, 2015",0.205
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",0
"Sep 1, 2015",0.206
"Oct 1, 2015",0.206
