system:time_start,AreaWater
"Jan 1, 1985",3.066
"Feb 1, 1985",0
"Mar 1, 1985",3.023
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",1.115
"Mar 1, 1986",3.035
"Apr 1, 1986",3.113
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",3.154
"Sep 1, 1986",3.148
"Oct 1, 1986",0.119
"Nov 1, 1986",0
"Dec 1, 1986",2.856
"Jan 1, 1987",2.824
"Feb 1, 1987",2.482
"Mar 1, 1987",0.001
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",2.94
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",3.001
"Mar 1, 1998",0
"Apr 1, 1998",2.993
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",2.652
"Sep 1, 1998",3.079
"Oct 1, 1998",0
"Nov 1, 1998",0
"Dec 1, 1998",0.467
"Jan 1, 1999",3.136
"Feb 1, 1999",3.016
"Mar 1, 1999",0
"Apr 1, 1999",3.027
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",3.157
"Sep 1, 1999",0
"Oct 1, 1999",3.119
"Nov 1, 1999",3.122
"Dec 1, 1999",3.063
"Jan 1, 2000",0.081
"Feb 1, 2000",0
"Mar 1, 2000",2.995
"Apr 1, 2000",3.079
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",3.149
"Sep 1, 2000",0.301
"Oct 1, 2000",2.915
"Nov 1, 2000",0.001
"Dec 1, 2000",0.463
"Jan 1, 2001",0.047
"Feb 1, 2001",0
"Mar 1, 2001",3.153
"Apr 1, 2001",3.103
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",2.814
"Sep 1, 2001",3.116
"Oct 1, 2001",2.538
"Nov 1, 2001",2.16
"Dec 1, 2001",3.142
"Jan 1, 2002",2.941
"Feb 1, 2002",2.943
"Mar 1, 2002",2.59
"Apr 1, 2002",0
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",3.157
"Sep 1, 2002",2.321
"Oct 1, 2002",0
"Nov 1, 2002",1.978
"Dec 1, 2002",0.052
"Jan 1, 2003",1.652
"Feb 1, 2003",2.996
"Mar 1, 2003",2.783
"Apr 1, 2003",2.99
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",2.348
"Sep 1, 2003",0
"Oct 1, 2003",1.775
"Nov 1, 2003",0
"Dec 1, 2003",0.617
"Jan 1, 2004",3.142
"Feb 1, 2004",1.924
"Mar 1, 2004",3.064
"Apr 1, 2004",1.18
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
