system:time_start,AreaWater
"Jan 1, 1985",0.043
"Feb 1, 1985",0
"Mar 1, 1985",0.043
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0.042
"Mar 1, 1986",0.041
"Apr 1, 1986",0.014
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0.042
"Sep 1, 1986",0.042
"Oct 1, 1986",0.042
"Nov 1, 1986",0
"Dec 1, 1986",0.043
"Jan 1, 1987",0.042
"Feb 1, 1987",0.015
"Mar 1, 1987",0.043
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",0.042
"Mar 1, 1998",0
"Apr 1, 1998",0.043
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0.042
"Sep 1, 1998",0.043
"Oct 1, 1998",0.042
"Nov 1, 1998",0.011
"Dec 1, 1998",0.04
"Jan 1, 1999",0.043
"Feb 1, 1999",0.042
"Mar 1, 1999",0
"Apr 1, 1999",0.043
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",0.042
"Sep 1, 1999",0.037
"Oct 1, 1999",0.042
"Nov 1, 1999",0.04
"Dec 1, 1999",0.042
"Jan 1, 2000",0.041
"Feb 1, 2000",0.04
"Mar 1, 2000",0.037
"Apr 1, 2000",0.042
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0
"Sep 1, 2000",0
"Oct 1, 2000",0.042
"Nov 1, 2000",0
"Dec 1, 2000",0.004
"Jan 1, 2001",0
"Feb 1, 2001",0.043
"Mar 1, 2001",0.037
"Apr 1, 2001",0.041
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0.043
"Sep 1, 2001",0.042
"Oct 1, 2001",0.042
"Nov 1, 2001",0.043
"Dec 1, 2001",0.043
"Jan 1, 2002",0.042
"Feb 1, 2002",0.041
"Mar 1, 2002",0.036
"Apr 1, 2002",0.039
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0.038
"Dec 1, 2002",0
"Jan 1, 2003",0.043
"Feb 1, 2003",0.042
"Mar 1, 2003",0.042
"Apr 1, 2003",0.043
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0.001
"Sep 1, 2003",0
"Oct 1, 2003",0.023
"Nov 1, 2003",0.043
"Dec 1, 2003",0.007
"Jan 1, 2004",0.043
"Feb 1, 2004",0.025
"Mar 1, 2004",0.042
"Apr 1, 2004",0.021
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",0.043
"Sep 1, 2004",0.042
"Oct 1, 2004",0.04
"Nov 1, 2004",0.04
"Dec 1, 2004",0.042
"Jan 1, 2005",0.043
"Feb 1, 2005",0.043
"Mar 1, 2005",0.043
"Apr 1, 2005",0.007
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0
"Sep 1, 2005",0.042
"Oct 1, 2005",0.04
"Nov 1, 2005",0.04
"Dec 1, 2005",0.04
"Jan 1, 2006",0.042
"Feb 1, 2006",0.043
"Mar 1, 2006",0.008
"Apr 1, 2006",0.043
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.037
"Sep 1, 2006",0.043
"Oct 1, 2006",0
"Nov 1, 2006",0.043
"Dec 1, 2006",0
"Jan 1, 2007",0.043
"Feb 1, 2007",0.042
"Mar 1, 2007",0.043
"Apr 1, 2007",0.042
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0.012
"Sep 1, 2007",0.042
"Oct 1, 2007",0
"Nov 1, 2007",0.041
"Dec 1, 2007",0.02
"Jan 1, 2008",0.042
"Feb 1, 2008",0.043
"Mar 1, 2008",0.039
"Apr 1, 2008",0
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",0.04
"Oct 1, 2008",0.04
"Nov 1, 2008",0.043
"Dec 1, 2008",0.043
"Jan 1, 2009",0.043
"Feb 1, 2009",0.042
"Mar 1, 2009",0.023
"Apr 1, 2009",0.04
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.016
"Sep 1, 2009",0.024
"Oct 1, 2009",0
"Nov 1, 2009",0
"Dec 1, 2009",0.042
"Jan 1, 2010",0.042
"Feb 1, 2010",0.031
"Mar 1, 2010",0.041
"Apr 1, 2010",0.006
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.03
"Sep 1, 2010",0
"Oct 1, 2010",0.04
"Nov 1, 2010",0.042
"Dec 1, 2010",0
"Jan 1, 2011",0.043
"Feb 1, 2011",0.043
"Mar 1, 2011",0.042
"Apr 1, 2011",0.006
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",0.025
"Sep 1, 2011",0
"Oct 1, 2011",0.011
"Nov 1, 2011",0
"Dec 1, 2011",0.001
"Jan 1, 2012",0.038
"Feb 1, 2012",0.011
"Mar 1, 2012",0.04
"Apr 1, 2012",0.023
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0
"Sep 1, 2012",0.034
"Oct 1, 2012",0
"Nov 1, 2012",0.032
"Dec 1, 2012",0
"Jan 1, 2013",0.038
"Feb 1, 2013",0.009
"Mar 1, 2013",0.04
"Apr 1, 2013",0.035
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0
"Sep 1, 2013",0.042
"Oct 1, 2013",0.04
"Nov 1, 2013",0.042
"Dec 1, 2013",0.043
"Jan 1, 2014",0.043
"Feb 1, 2014",0.043
"Mar 1, 2014",0.042
"Apr 1, 2014",0.043
