system:time_start,AreaWater
"Jan 1, 1985",2.434
"Feb 1, 1985",0
"Mar 1, 1985",2.902
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.011
"Feb 1, 1986",1.826
"Mar 1, 1986",2.926
"Apr 1, 1986",2.916
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",2.931
"Sep 1, 1986",2.933
"Oct 1, 1986",2.229
"Nov 1, 1986",0
"Dec 1, 1986",0.401
"Jan 1, 1987",2.91
"Feb 1, 1987",2.845
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",2.926
"Mar 1, 1998",0
"Apr 1, 1998",2.909
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",2.754
"Sep 1, 1998",2.927
"Oct 1, 1998",0
"Nov 1, 1998",1.633
"Dec 1, 1998",0
"Jan 1, 1999",2.919
"Feb 1, 1999",2.909
"Mar 1, 1999",0
"Apr 1, 1999",0.471
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",2.931
"Sep 1, 1999",0
"Oct 1, 1999",2.847
"Nov 1, 1999",2.656
"Dec 1, 1999",2.914
"Jan 1, 2000",0.464
"Feb 1, 2000",2.384
"Mar 1, 2000",1.651
"Apr 1, 2000",2.863
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",2.924
"Sep 1, 2000",1.597
"Oct 1, 2000",2.92
"Nov 1, 2000",0
"Dec 1, 2000",1.065
"Jan 1, 2001",0.001
"Feb 1, 2001",0.004
"Mar 1, 2001",2.928
"Apr 1, 2001",2.909
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",2.922
"Sep 1, 2001",2.906
"Oct 1, 2001",2.92
"Nov 1, 2001",2.915
"Dec 1, 2001",2.932
"Jan 1, 2002",2.817
"Feb 1, 2002",2.897
"Mar 1, 2002",1.739
"Apr 1, 2002",0.004
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",2.934
"Sep 1, 2002",0.16
"Oct 1, 2002",0.049
"Nov 1, 2002",0.057
"Dec 1, 2002",2.832
"Jan 1, 2003",2.912
"Feb 1, 2003",2.889
"Mar 1, 2003",2.873
"Apr 1, 2003",2.9
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",2.142
"Sep 1, 2003",0
"Oct 1, 2003",1.951
"Nov 1, 2003",0.391
"Dec 1, 2003",0.471
"Jan 1, 2004",2.928
"Feb 1, 2004",2.818
"Mar 1, 2004",2.907
"Apr 1, 2004",1.076
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",2.931
"Sep 1, 2004",2.928
"Oct 1, 2004",2.781
"Nov 1, 2004",2.927
"Dec 1, 2004",2.925
"Jan 1, 2005",2.913
"Feb 1, 2005",2.924
"Mar 1, 2005",2.924
"Apr 1, 2005",2.882
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",2.243
"Sep 1, 2005",1.985
"Oct 1, 2005",1.972
"Nov 1, 2005",1.728
"Dec 1, 2005",2.508
"Jan 1, 2006",0.408
"Feb 1, 2006",2.914
"Mar 1, 2006",2.166
"Apr 1, 2006",1.853
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.417
"Sep 1, 2006",1.069
"Oct 1, 2006",2.5
"Nov 1, 2006",2.913
"Dec 1, 2006",1.33
"Jan 1, 2007",2.929
"Feb 1, 2007",2.303
"Mar 1, 2007",2.887
"Apr 1, 2007",2.534
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",2.93
"Sep 1, 2007",2.926
"Oct 1, 2007",0
"Nov 1, 2007",2.78
"Dec 1, 2007",2.634
"Jan 1, 2008",0.203
"Feb 1, 2008",2.919
"Mar 1, 2008",2.899
"Apr 1, 2008",0.958
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0.111
"Sep 1, 2008",2.527
"Oct 1, 2008",1.844
"Nov 1, 2008",2.916
"Dec 1, 2008",2.93
"Jan 1, 2009",2.926
"Feb 1, 2009",1.775
"Mar 1, 2009",1.998
"Apr 1, 2009",2.931
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",1.97
"Sep 1, 2009",0
"Oct 1, 2009",0.468
"Nov 1, 2009",0
"Dec 1, 2009",2.931
"Jan 1, 2010",2.919
"Feb 1, 2010",2.912
"Mar 1, 2010",2.8
"Apr 1, 2010",2.829
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",1.96
"Sep 1, 2010",0
"Oct 1, 2010",2.919
"Nov 1, 2010",2.922
"Dec 1, 2010",1.558
"Jan 1, 2011",2.929
"Feb 1, 2011",2.925
"Mar 1, 2011",2.897
"Apr 1, 2011",2.907
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",2.2
"Sep 1, 2011",2.503
"Oct 1, 2011",2.922
"Nov 1, 2011",0
"Dec 1, 2011",2.019
"Jan 1, 2012",2.867
"Feb 1, 2012",2.278
"Mar 1, 2012",1.556
"Apr 1, 2012",2.501
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",2.844
"Sep 1, 2012",2.03
"Oct 1, 2012",0.002
"Nov 1, 2012",2.178
"Dec 1, 2012",0
"Jan 1, 2013",2.908
"Feb 1, 2013",2.215
"Mar 1, 2013",2.134
"Apr 1, 2013",1.552
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0.003
"Sep 1, 2013",2.933
"Oct 1, 2013",2.754
"Nov 1, 2013",1.266
"Dec 1, 2013",2.928
"Jan 1, 2014",2.929
"Feb 1, 2014",2.932
"Mar 1, 2014",2.883
"Apr 1, 2014",2.084
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",2.927
"Sep 1, 2014",0.232
"Oct 1, 2014",2.931
"Nov 1, 2014",2.928
"Dec 1, 2014",2.929
"Jan 1, 2015",2.838
"Feb 1, 2015",0.048
"Mar 1, 2015",2.92
"Apr 1, 2015",2.848
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",2.927
"Sep 1, 2015",2.93
"Oct 1, 2015",2.929
