system:time_start,AreaWater
"Jan 1, 1985",0.517
"Feb 1, 1985",0
"Mar 1, 1985",0.522
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0.048
"Mar 1, 1986",0.52
"Apr 1, 1986",0.522
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0.49
"Sep 1, 1986",0.081
"Oct 1, 1986",0.032
"Nov 1, 1986",0
"Dec 1, 1986",0.515
"Jan 1, 1987",0.502
"Feb 1, 1987",0
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0.504
"Feb 1, 1997",0.001
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",0.515
"Mar 1, 1998",0.52
"Apr 1, 1998",0.061
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0
"Sep 1, 1998",0.521
"Oct 1, 1998",0.098
"Nov 1, 1998",0.499
"Dec 1, 1998",0.411
"Jan 1, 1999",0.522
"Feb 1, 1999",0.522
"Mar 1, 1999",0.519
"Apr 1, 1999",0.522
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",0.459
"Sep 1, 1999",0
"Oct 1, 1999",0.146
"Nov 1, 1999",0.196
"Dec 1, 1999",0.519
"Jan 1, 2000",0.495
"Feb 1, 2000",0.513
"Mar 1, 2000",0
"Apr 1, 2000",0.5
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0.001
"Sep 1, 2000",0
"Oct 1, 2000",0.142
"Nov 1, 2000",0.499
"Dec 1, 2000",0
"Jan 1, 2001",0.291
"Feb 1, 2001",0.332
"Mar 1, 2001",0.523
"Apr 1, 2001",0.524
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0.473
"Sep 1, 2001",0
"Oct 1, 2001",0.436
"Nov 1, 2001",0.458
"Dec 1, 2001",0.518
"Jan 1, 2002",0.521
"Feb 1, 2002",0.515
"Mar 1, 2002",0.518
"Apr 1, 2002",0.471
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0.469
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0.51
"Dec 1, 2002",0.391
"Jan 1, 2003",0.498
"Feb 1, 2003",0.503
"Mar 1, 2003",0.491
"Apr 1, 2003",0.285
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0.361
"Sep 1, 2003",0
"Oct 1, 2003",0.299
"Nov 1, 2003",0.262
"Dec 1, 2003",0.499
"Jan 1, 2004",0.514
"Feb 1, 2004",0.52
"Mar 1, 2004",0.52
"Apr 1, 2004",0
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",0.523
"Sep 1, 2004",0.02
"Oct 1, 2004",0
"Nov 1, 2004",0.524
"Dec 1, 2004",0.514
"Jan 1, 2005",0.52
"Feb 1, 2005",0.521
"Mar 1, 2005",0.518
"Apr 1, 2005",0.523
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0.084
"Sep 1, 2005",0
"Oct 1, 2005",0.11
"Nov 1, 2005",0.017
"Dec 1, 2005",0.374
"Jan 1, 2006",0.516
"Feb 1, 2006",0.519
"Mar 1, 2006",0.52
"Apr 1, 2006",0.215
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.315
"Sep 1, 2006",0
"Oct 1, 2006",0.342
"Nov 1, 2006",0.077
"Dec 1, 2006",0.424
"Jan 1, 2007",0.514
"Feb 1, 2007",0.517
"Mar 1, 2007",0.48
"Apr 1, 2007",0.41
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0.07
"Sep 1, 2007",0.001
"Oct 1, 2007",0
"Nov 1, 2007",0.379
"Dec 1, 2007",0.416
"Jan 1, 2008",0.519
"Feb 1, 2008",0.522
"Mar 1, 2008",0.516
"Apr 1, 2008",0.344
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",0
"Oct 1, 2008",0.434
"Nov 1, 2008",0.524
"Dec 1, 2008",0.515
"Jan 1, 2009",0.441
"Feb 1, 2009",0.271
"Mar 1, 2009",0.518
"Apr 1, 2009",0.434
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0
"Sep 1, 2009",0.02
"Oct 1, 2009",0.274
"Nov 1, 2009",0.072
"Dec 1, 2009",0.52
"Jan 1, 2010",0.505
"Feb 1, 2010",0.494
"Mar 1, 2010",0.518
"Apr 1, 2010",0.447
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.176
"Sep 1, 2010",0
"Oct 1, 2010",0.041
"Nov 1, 2010",0.481
"Dec 1, 2010",0.18
"Jan 1, 2011",0.508
"Feb 1, 2011",0.521
"Mar 1, 2011",0.492
"Apr 1, 2011",0.374
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",0.003
"Sep 1, 2011",0
"Oct 1, 2011",0.098
"Nov 1, 2011",0.035
"Dec 1, 2011",0.486
"Jan 1, 2012",0.506
"Feb 1, 2012",0.405
"Mar 1, 2012",0.498
"Apr 1, 2012",0.463
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0.166
"Sep 1, 2012",0.018
"Oct 1, 2012",0.128
"Nov 1, 2012",0.409
"Dec 1, 2012",0.225
"Jan 1, 2013",0.467
"Feb 1, 2013",0.404
"Mar 1, 2013",0.011
"Apr 1, 2013",0
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0.422
"Sep 1, 2013",0.02
"Oct 1, 2013",0.226
"Nov 1, 2013",0.502
"Dec 1, 2013",0.481
"Jan 1, 2014",0.51
"Feb 1, 2014",0.521
"Mar 1, 2014",0.519
"Apr 1, 2014",0.517
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",0.52
"Sep 1, 2014",0.002
"Oct 1, 2014",0.435
"Nov 1, 2014",0.519
"Dec 1, 2014",0.512
"Jan 1, 2015",0.454
"Feb 1, 2015",0.23
"Mar 1, 2015",0.523
"Apr 1, 2015",0.523
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",0.325
"Sep 1, 2015",0.02
"Oct 1, 2015",0.126
