system:time_start,AreaWater
"Jan 1, 1985",1.254
"Feb 1, 1985",0
"Mar 1, 1985",1.251
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.015
"Feb 1, 1986",1.249
"Mar 1, 1986",1.254
"Apr 1, 1986",0.286
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",1.25
"Sep 1, 1986",1.264
"Oct 1, 1986",0.419
"Nov 1, 1986",0
"Dec 1, 1986",0.539
"Jan 1, 1987",1.254
"Feb 1, 1987",0.56
"Mar 1, 1987",1.257
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",1.249
"Feb 1, 1998",1.261
"Mar 1, 1998",0
"Apr 1, 1998",1.267
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",1.26
"Sep 1, 1998",1.254
"Oct 1, 1998",1.251
"Nov 1, 1998",1.254
"Dec 1, 1998",1.24
"Jan 1, 1999",1.25
"Feb 1, 1999",1.212
"Mar 1, 1999",0
"Apr 1, 1999",1.155
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",1.269
"Sep 1, 1999",1.223
"Oct 1, 1999",1.261
"Nov 1, 1999",1.26
"Dec 1, 1999",1.264
"Jan 1, 2000",1.243
"Feb 1, 2000",1.224
"Mar 1, 2000",1.223
"Apr 1, 2000",1.248
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0.001
"Sep 1, 2000",0
"Oct 1, 2000",1.252
"Nov 1, 2000",0
"Dec 1, 2000",0
"Jan 1, 2001",0.003
"Feb 1, 2001",1.257
"Mar 1, 2001",1.254
"Apr 1, 2001",1.262
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",1.272
"Sep 1, 2001",1.266
"Oct 1, 2001",1.235
"Nov 1, 2001",1.243
"Dec 1, 2001",1.264
"Jan 1, 2002",1.258
"Feb 1, 2002",1.255
"Mar 1, 2002",1.252
"Apr 1, 2002",1.232
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0.641
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",1.226
"Dec 1, 2002",1.146
"Jan 1, 2003",0.495
"Feb 1, 2003",1.227
"Mar 1, 2003",1.262
"Apr 1, 2003",1.252
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0.778
"Sep 1, 2003",0
"Oct 1, 2003",0.945
"Nov 1, 2003",0.733
"Dec 1, 2003",0.02
"Jan 1, 2004",1.264
"Feb 1, 2004",1.25
"Mar 1, 2004",1.27
"Apr 1, 2004",1.26
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",1.274
"Sep 1, 2004",1.259
"Oct 1, 2004",0.887
"Nov 1, 2004",1.254
"Dec 1, 2004",1.253
"Jan 1, 2005",1.246
"Feb 1, 2005",1.271
"Mar 1, 2005",1.268
"Apr 1, 2005",0.891
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0
"Sep 1, 2005",1.255
"Oct 1, 2005",1.218
"Nov 1, 2005",1.048
"Dec 1, 2005",1.237
"Jan 1, 2006",1.249
"Feb 1, 2006",1.264
"Mar 1, 2006",0.817
"Apr 1, 2006",1.269
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.963
"Sep 1, 2006",0.815
"Oct 1, 2006",0
"Nov 1, 2006",1.254
"Dec 1, 2006",0.349
"Jan 1, 2007",1.255
"Feb 1, 2007",1.155
"Mar 1, 2007",1.252
"Apr 1, 2007",1.272
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",1.257
"Sep 1, 2007",1.265
"Oct 1, 2007",0
"Nov 1, 2007",0.962
"Dec 1, 2007",1.238
"Jan 1, 2008",1.249
"Feb 1, 2008",1.274
"Mar 1, 2008",1.024
"Apr 1, 2008",1.025
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",0.96
"Oct 1, 2008",1.245
"Nov 1, 2008",1.255
"Dec 1, 2008",1.261
"Jan 1, 2009",1.267
"Feb 1, 2009",0.336
"Mar 1, 2009",0.955
"Apr 1, 2009",1.265
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.154
"Sep 1, 2009",0.978
"Oct 1, 2009",0.507
"Nov 1, 2009",0
"Dec 1, 2009",1.248
"Jan 1, 2010",1.26
"Feb 1, 2010",1.22
"Mar 1, 2010",1.12
"Apr 1, 2010",0.822
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.931
"Sep 1, 2010",0.325
"Oct 1, 2010",1.248
"Nov 1, 2010",1.253
"Dec 1, 2010",0.496
"Jan 1, 2011",1.255
"Feb 1, 2011",1.261
"Mar 1, 2011",1.24
"Apr 1, 2011",0.822
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",1.162
"Sep 1, 2011",0.009
"Oct 1, 2011",1.106
"Nov 1, 2011",0.056
"Dec 1, 2011",0.975
"Jan 1, 2012",1.198
"Feb 1, 2012",1.105
"Mar 1, 2012",1.047
"Apr 1, 2012",1.235
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0.957
"Sep 1, 2012",0.938
"Oct 1, 2012",0.95
"Nov 1, 2012",1.239
"Dec 1, 2012",0
"Jan 1, 2013",1.237
