system:time_start,AreaWater
"Jan 1, 1985",1.355
"Feb 1, 1985",0
"Mar 1, 1985",1.362
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0.977
"Mar 1, 1986",1.393
"Apr 1, 1986",1.388
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",1.393
"Sep 1, 1986",1.377
"Oct 1, 1986",0.721
"Nov 1, 1986",0
"Dec 1, 1986",0.366
"Jan 1, 1987",1.313
"Feb 1, 1987",1.196
"Mar 1, 1987",0.01
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0.001
"Feb 1, 1998",1.367
"Mar 1, 1998",0
"Apr 1, 1998",0.367
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0.702
"Sep 1, 1998",1.384
"Oct 1, 1998",0
"Nov 1, 1998",0.181
"Dec 1, 1998",0.004
"Jan 1, 1999",1.381
"Feb 1, 1999",1.379
"Mar 1, 1999",0
"Apr 1, 1999",0.65
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",1.4
"Sep 1, 1999",0
"Oct 1, 1999",1.381
"Nov 1, 1999",1.38
"Dec 1, 1999",1.372
"Jan 1, 2000",0.194
"Feb 1, 2000",1.271
"Mar 1, 2000",1.332
"Apr 1, 2000",1.332
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",1.374
"Sep 1, 2000",0.97
"Oct 1, 2000",0
"Nov 1, 2000",0.154
"Dec 1, 2000",0.123
"Jan 1, 2001",0.059
"Feb 1, 2001",0
"Mar 1, 2001",1.392
"Apr 1, 2001",1.376
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",1.393
"Sep 1, 2001",1.388
"Oct 1, 2001",1.388
"Nov 1, 2001",1.374
"Dec 1, 2001",1.384
"Jan 1, 2002",0.134
"Feb 1, 2002",1.352
"Mar 1, 2002",0.912
"Apr 1, 2002",0.235
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",1.398
"Sep 1, 2002",0
"Oct 1, 2002",0.063
"Nov 1, 2002",0.065
"Dec 1, 2002",0.055
"Jan 1, 2003",1.355
"Feb 1, 2003",1.366
"Mar 1, 2003",1.32
"Apr 1, 2003",1.339
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",1.001
"Sep 1, 2003",0
"Oct 1, 2003",0.897
"Nov 1, 2003",0.247
"Dec 1, 2003",0.118
"Jan 1, 2004",1.38
"Feb 1, 2004",0.415
"Mar 1, 2004",1.369
"Apr 1, 2004",0.877
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",1.392
"Sep 1, 2004",1.387
"Oct 1, 2004",0.407
"Nov 1, 2004",1.384
"Dec 1, 2004",1.375
"Jan 1, 2005",1.381
"Feb 1, 2005",1.362
"Mar 1, 2005",1.386
"Apr 1, 2005",1.143
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",1.339
"Sep 1, 2005",0.819
"Oct 1, 2005",1.091
"Nov 1, 2005",0.884
"Dec 1, 2005",1.126
"Jan 1, 2006",0.001
"Feb 1, 2006",1.346
"Mar 1, 2006",0.744
"Apr 1, 2006",0.963
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.05
"Sep 1, 2006",0
"Oct 1, 2006",0.975
"Nov 1, 2006",1.083
"Dec 1, 2006",0.638
"Jan 1, 2007",1.378
"Feb 1, 2007",0.97
"Mar 1, 2007",1.322
"Apr 1, 2007",1.259
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",1.384
"Sep 1, 2007",1.391
"Oct 1, 2007",0
"Nov 1, 2007",1.374
"Dec 1, 2007",1.141
"Jan 1, 2008",0.004
"Feb 1, 2008",1.369
"Mar 1, 2008",1.096
"Apr 1, 2008",0.729
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",1.03
"Oct 1, 2008",1.327
"Nov 1, 2008",1.382
"Dec 1, 2008",1.377
"Jan 1, 2009",1.379
"Feb 1, 2009",0.016
"Mar 1, 2009",0.972
"Apr 1, 2009",1.39
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.918
"Sep 1, 2009",0
"Oct 1, 2009",0
"Nov 1, 2009",0
"Dec 1, 2009",1.384
"Jan 1, 2010",1.381
"Feb 1, 2010",1.35
"Mar 1, 2010",1.327
"Apr 1, 2010",1.315
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.872
"Sep 1, 2010",0
"Oct 1, 2010",1.128
"Nov 1, 2010",1.379
"Dec 1, 2010",0
"Jan 1, 2011",1.376
"Feb 1, 2011",1.364
"Mar 1, 2011",1.332
"Apr 1, 2011",1.255
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",1.154
"Sep 1, 2011",0.972
"Oct 1, 2011",1.385
"Nov 1, 2011",0.004
"Dec 1, 2011",0.887
"Jan 1, 2012",1.31
"Feb 1, 2012",1.036
"Mar 1, 2012",0.235
"Apr 1, 2012",1.225
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0.909
"Sep 1, 2012",1.002
"Oct 1, 2012",0.062
"Nov 1, 2012",1.185
"Dec 1, 2012",0
"Jan 1, 2013",1.356
"Feb 1, 2013",1.036
"Mar 1, 2013",1.001
"Apr 1, 2013",0.208
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0
"Sep 1, 2013",1.396
"Oct 1, 2013",1.051
"Nov 1, 2013",1.249
"Dec 1, 2013",1.384
"Jan 1, 2014",1.381
"Feb 1, 2014",1.385
"Mar 1, 2014",1.386
"Apr 1, 2014",0.504
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",1.369
"Sep 1, 2014",0
"Oct 1, 2014",1.393
"Nov 1, 2014",1.389
"Dec 1, 2014",1.384
"Jan 1, 2015",1.237
"Feb 1, 2015",0.383
"Mar 1, 2015",1.393
"Apr 1, 2015",1.386
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",1.393
"Sep 1, 2015",1.392
"Oct 1, 2015",1.388
