system:time_start,AreaWater
"Jan 1, 1985",0.074
"Feb 1, 1985",0
"Mar 1, 1985",0.073
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0.071
"Mar 1, 1986",0.069
"Apr 1, 1986",0.044
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0.069
"Sep 1, 1986",0.076
"Oct 1, 1986",0.009
"Nov 1, 1986",0
"Dec 1, 1986",0.075
"Jan 1, 1987",0.074
"Feb 1, 1987",0.041
"Mar 1, 1987",0.073
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0.003
"Feb 1, 1998",0.075
"Mar 1, 1998",0
"Apr 1, 1998",0.072
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0.009
"Sep 1, 1998",0.073
"Oct 1, 1998",0.074
"Nov 1, 1998",0.06
"Dec 1, 1998",0.075
"Jan 1, 1999",0.076
"Feb 1, 1999",0.074
"Mar 1, 1999",0
"Apr 1, 1999",0.074
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",0.073
"Sep 1, 1999",0.071
"Oct 1, 1999",0.076
"Nov 1, 1999",0.075
"Dec 1, 1999",0.076
"Jan 1, 2000",0.07
"Feb 1, 2000",0.069
"Mar 1, 2000",0.072
"Apr 1, 2000",0.074
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0.055
"Sep 1, 2000",0
"Oct 1, 2000",0.076
"Nov 1, 2000",0
"Dec 1, 2000",0
"Jan 1, 2001",0
"Feb 1, 2001",0.075
"Mar 1, 2001",0.063
"Apr 1, 2001",0.074
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0.07
"Sep 1, 2001",0.073
"Oct 1, 2001",0.074
"Nov 1, 2001",0.071
"Dec 1, 2001",0.076
"Jan 1, 2002",0.075
"Feb 1, 2002",0.076
"Mar 1, 2002",0.031
"Apr 1, 2002",0.068
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0.026
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0.043
"Dec 1, 2002",0
"Jan 1, 2003",0
"Feb 1, 2003",0.072
"Mar 1, 2003",0.076
"Apr 1, 2003",0.073
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0.062
"Sep 1, 2003",0
"Oct 1, 2003",0.067
"Nov 1, 2003",0.062
"Dec 1, 2003",0
"Jan 1, 2004",0.076
"Feb 1, 2004",0.074
"Mar 1, 2004",0.076
"Apr 1, 2004",0.065
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",0.073
"Sep 1, 2004",0.074
"Oct 1, 2004",0.059
"Nov 1, 2004",0.075
"Dec 1, 2004",0.075
"Jan 1, 2005",0.075
"Feb 1, 2005",0.076
"Mar 1, 2005",0.075
"Apr 1, 2005",0.008
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0
"Sep 1, 2005",0.052
"Oct 1, 2005",0.021
"Nov 1, 2005",0.013
"Dec 1, 2005",0.072
"Jan 1, 2006",0.076
"Feb 1, 2006",0.076
"Mar 1, 2006",0.071
"Apr 1, 2006",0.075
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0
"Sep 1, 2006",0.021
"Oct 1, 2006",0
"Nov 1, 2006",0.076
"Dec 1, 2006",0
"Jan 1, 2007",0.075
"Feb 1, 2007",0.064
"Mar 1, 2007",0.075
"Apr 1, 2007",0.076
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0
"Sep 1, 2007",0.001
"Oct 1, 2007",0
"Nov 1, 2007",0.075
"Dec 1, 2007",0.069
"Jan 1, 2008",0.074
"Feb 1, 2008",0.076
"Mar 1, 2008",0.035
"Apr 1, 2008",0.068
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",0.06
"Oct 1, 2008",0.076
"Nov 1, 2008",0.075
"Dec 1, 2008",0.075
"Jan 1, 2009",0.076
"Feb 1, 2009",0.023
"Mar 1, 2009",0.074
"Apr 1, 2009",0.07
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.007
"Sep 1, 2009",0.068
"Oct 1, 2009",0.003
"Nov 1, 2009",0
"Dec 1, 2009",0.072
"Jan 1, 2010",0.073
"Feb 1, 2010",0.065
"Mar 1, 2010",0.073
"Apr 1, 2010",0.069
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0
"Sep 1, 2010",0
"Oct 1, 2010",0.074
"Nov 1, 2010",0.075
"Dec 1, 2010",0
"Jan 1, 2011",0.075
"Feb 1, 2011",0.075
"Mar 1, 2011",0.072
"Apr 1, 2011",0.067
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",0.021
"Sep 1, 2011",0
"Oct 1, 2011",0.069
"Nov 1, 2011",0
"Dec 1, 2011",0.028
"Jan 1, 2012",0.062
"Feb 1, 2012",0.07
"Mar 1, 2012",0.07
"Apr 1, 2012",0.072
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0.004
"Sep 1, 2012",0.071
"Oct 1, 2012",0.073
"Nov 1, 2012",0.076
"Dec 1, 2012",0
"Jan 1, 2013",0.072
"Feb 1, 2013",0.072
"Mar 1, 2013",0.065
"Apr 1, 2013",0
