year,clip
"1,984","1,865.265"
"1,985","1,770.401"
"1,986","1,763.341"
"1,987","1,682.995"
"1,988","1,503.218"
"1,989","1,651.501"
"1,990","1,888.952"
"1,991","1,876.639"
"1,992","1,847.361"
"1,993","2,450.257"
"1,994","2,409.385"
"1,995","1,838.269"
"1,996","1,615.295"
"1,997","2,296.572"
"1,998","1,387.899"
"1,999","1,785.796"
"2,000","2,223.522"
"2,001","2,168.097"
"2,002","2,680.245"
"2,003","1,818.846"
"2,004","2,237.869"
"2,005","2,495.518"
"2,006","2,468.238"
"2,007","1,505.546"
"2,008","1,955.665"
"2,009","2,262.27"
"2,010","1,748.516"
"2,011","1,900.199"
"2,012","2,096.44"
"2,013","1,857.31"
"2,014","1,820.328"
"2,015","1,820.226"
