system:time_start,AreaWater
"Jan 1, 1985",3.68
"Feb 1, 1985",0
"Mar 1, 1985",2.063
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",3.778
"Feb 1, 1986",0
"Mar 1, 1986",0
"Apr 1, 1986",4.077
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",4.088
"Sep 1, 1986",4.13
"Oct 1, 1986",4.198
"Nov 1, 1986",3.531
"Dec 1, 1986",3.875
"Jan 1, 1987",3.85
"Feb 1, 1987",3.87
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",3.144
"Mar 1, 1997",3.159
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",4.319
"Mar 1, 1998",4.216
"Apr 1, 1998",0
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0
"Sep 1, 1998",3.935
"Oct 1, 1998",4.302
"Nov 1, 1998",4.156
"Dec 1, 1998",2.842
"Jan 1, 1999",4.198
"Feb 1, 1999",4.202
"Mar 1, 1999",4.346
"Apr 1, 1999",0
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",4.355
"Sep 1, 1999",4.153
"Oct 1, 1999",4.498
"Nov 1, 1999",4.188
"Dec 1, 1999",4.456
"Jan 1, 2000",4.236
"Feb 1, 2000",0
"Mar 1, 2000",4.27
"Apr 1, 2000",4.234
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",2.777
"Sep 1, 2000",0.023
"Oct 1, 2000",4.171
"Nov 1, 2000",2.423
"Dec 1, 2000",4.409
"Jan 1, 2001",4.264
"Feb 1, 2001",4.165
"Mar 1, 2001",4.644
"Apr 1, 2001",4.458
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",3.56
"Sep 1, 2001",4.296
"Oct 1, 2001",4.214
"Nov 1, 2001",4.287
"Dec 1, 2001",4.503
"Jan 1, 2002",4.644
"Feb 1, 2002",4.322
"Mar 1, 2002",4.317
"Apr 1, 2002",4.076
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",2.997
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",4.096
"Dec 1, 2002",3.125
"Jan 1, 2003",0
"Feb 1, 2003",4.349
"Mar 1, 2003",4.3
"Apr 1, 2003",4.407
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",3.924
"Sep 1, 2003",0
"Oct 1, 2003",3.672
"Nov 1, 2003",4.299
"Dec 1, 2003",4.376
"Jan 1, 2004",4.41
"Feb 1, 2004",4.424
"Mar 1, 2004",4.459
"Apr 1, 2004",0.365
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",4.034
"Sep 1, 2004",4.106
"Oct 1, 2004",4.292
"Nov 1, 2004",4.263
"Dec 1, 2004",3.896
"Jan 1, 2005",3.804
"Feb 1, 2005",4.448
"Mar 1, 2005",4.528
"Apr 1, 2005",4.514
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",3.025
"Sep 1, 2005",4.493
"Oct 1, 2005",0.238
"Nov 1, 2005",2.617
"Dec 1, 2005",4.115
"Jan 1, 2006",4.413
"Feb 1, 2006",0.184
"Mar 1, 2006",4.258
"Apr 1, 2006",4.521
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",1.005
"Sep 1, 2006",4.49
"Oct 1, 2006",3.958
"Nov 1, 2006",4.336
"Dec 1, 2006",0.25
"Jan 1, 2007",4.456
"Feb 1, 2007",4.477
"Mar 1, 2007",4.547
"Apr 1, 2007",4.509
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",2.453
"Sep 1, 2007",4.396
"Oct 1, 2007",3.602
"Nov 1, 2007",3.705
"Dec 1, 2007",3.604
"Jan 1, 2008",4.491
"Feb 1, 2008",4.703
"Mar 1, 2008",4.511
"Apr 1, 2008",2.756
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0.215
"Sep 1, 2008",2.794
"Oct 1, 2008",0.834
"Nov 1, 2008",4.095
"Dec 1, 2008",4.064
"Jan 1, 2009",3.087
"Feb 1, 2009",4.181
"Mar 1, 2009",3.963
"Apr 1, 2009",3.155
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.016
"Sep 1, 2009",1.859
"Oct 1, 2009",2.676
"Nov 1, 2009",2.794
"Dec 1, 2009",3.394
"Jan 1, 2010",3.246
"Feb 1, 2010",1.734
"Mar 1, 2010",1.958
"Apr 1, 2010",1.46
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.561
"Sep 1, 2010",3.227
"Oct 1, 2010",4.412
"Nov 1, 2010",4.446
"Dec 1, 2010",3.164
"Jan 1, 2011",4.735
"Feb 1, 2011",4.696
"Mar 1, 2011",3.024
"Apr 1, 2011",4.228
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",2.932
"Sep 1, 2011",0
"Oct 1, 2011",4.328
"Nov 1, 2011",4.316
"Dec 1, 2011",4.622
"Jan 1, 2012",4.556
"Feb 1, 2012",3.635
"Mar 1, 2012",4.49
"Apr 1, 2012",3.161
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",2.337
"Sep 1, 2012",4.554
"Oct 1, 2012",4.53
"Nov 1, 2012",1.937
"Dec 1, 2012",3.71
"Jan 1, 2013",4.292
"Feb 1, 2013",1.139
"Mar 1, 2013",3.549
"Apr 1, 2013",4.31
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",3.91
"Sep 1, 2013",4.517
"Oct 1, 2013",2.869
"Nov 1, 2013",3.062
"Dec 1, 2013",3.715
"Jan 1, 2014",4.665
"Feb 1, 2014",2.76
"Mar 1, 2014",2.851
"Apr 1, 2014",3.924
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",0.614
"Sep 1, 2014",4.299
"Oct 1, 2014",2.711
"Nov 1, 2014",3.534
"Dec 1, 2014",0.498
"Jan 1, 2015",1.68
"Feb 1, 2015",2.031
"Mar 1, 2015",1.613
"Apr 1, 2015",3.451
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",0.305
"Sep 1, 2015",3.911
"Oct 1, 2015",2.218
