system:time_start,AreaWater
"Jan 1, 1985",1.177
"Feb 1, 1985",0
"Mar 1, 1985",0.101
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0
"Mar 1, 1986",1.148
"Apr 1, 1986",0
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0.038
"Sep 1, 1986",0.018
"Oct 1, 1986",0.717
"Nov 1, 1986",0.55
"Dec 1, 1986",0
"Jan 1, 1987",0
"Feb 1, 1987",0
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0.841
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",0.43
"Mar 1, 1998",1.192
"Apr 1, 1998",0
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0
"Sep 1, 1998",0.043
"Oct 1, 1998",0.47
"Nov 1, 1998",0.105
"Dec 1, 1998",0.084
"Jan 1, 1999",1.061
"Feb 1, 1999",0
"Mar 1, 1999",1.191
"Apr 1, 1999",1.181
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",0.022
"Sep 1, 1999",0.031
"Oct 1, 1999",1.332
"Nov 1, 1999",1.06
"Dec 1, 1999",1.215
"Jan 1, 2000",1.199
"Feb 1, 2000",1.191
"Mar 1, 2000",0.22
"Apr 1, 2000",1.198
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0.001
"Sep 1, 2000",0.033
"Oct 1, 2000",0.474
"Nov 1, 2000",1.247
"Dec 1, 2000",0
"Jan 1, 2001",0.64
"Feb 1, 2001",1.251
"Mar 1, 2001",1.271
"Apr 1, 2001",0.65
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0.004
"Sep 1, 2001",0.009
"Oct 1, 2001",1.286
"Nov 1, 2001",0
"Dec 1, 2001",1.249
"Jan 1, 2002",1.216
"Feb 1, 2002",0.269
"Mar 1, 2002",0.632
"Apr 1, 2002",0.423
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0.007
"Sep 1, 2002",0.178
"Oct 1, 2002",0
"Nov 1, 2002",1.309
"Dec 1, 2002",0.527
"Jan 1, 2003",1.213
"Feb 1, 2003",0.074
"Mar 1, 2003",1.204
"Apr 1, 2003",1.262
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0
"Sep 1, 2003",0
"Oct 1, 2003",1.33
"Nov 1, 2003",0.558
"Dec 1, 2003",1.257
"Jan 1, 2004",0.012
"Feb 1, 2004",1.273
"Mar 1, 2004",1.277
"Apr 1, 2004",0.865
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",0.013
"Sep 1, 2004",1.093
"Oct 1, 2004",0.329
"Nov 1, 2004",1.294
"Dec 1, 2004",1.26
"Jan 1, 2005",1.268
"Feb 1, 2005",1.259
"Mar 1, 2005",1.214
"Apr 1, 2005",1.306
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0.003
"Sep 1, 2005",0.169
"Oct 1, 2005",0.772
"Nov 1, 2005",0.005
"Dec 1, 2005",1.064
"Jan 1, 2006",1.252
"Feb 1, 2006",1.019
"Mar 1, 2006",1.27
"Apr 1, 2006",1.291
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.006
"Sep 1, 2006",0.036
"Oct 1, 2006",1.327
"Nov 1, 2006",1.27
"Dec 1, 2006",1.26
"Jan 1, 2007",0.079
"Feb 1, 2007",1.277
"Mar 1, 2007",1.256
"Apr 1, 2007",1.311
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0
"Sep 1, 2007",0.22
"Oct 1, 2007",0
"Nov 1, 2007",0
"Dec 1, 2007",0
"Jan 1, 2008",1.267
"Feb 1, 2008",1.274
"Mar 1, 2008",1.223
"Apr 1, 2008",0.909
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0.001
"Sep 1, 2008",0
"Oct 1, 2008",1.344
"Nov 1, 2008",1.319
"Dec 1, 2008",1.256
"Jan 1, 2009",0.882
"Feb 1, 2009",1.186
"Mar 1, 2009",1.202
"Apr 1, 2009",1.271
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.006
"Sep 1, 2009",1.022
"Oct 1, 2009",1.277
"Nov 1, 2009",1.31
"Dec 1, 2009",1.274
"Jan 1, 2010",1.181
"Feb 1, 2010",1.227
"Mar 1, 2010",1.257
"Apr 1, 2010",0.926
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.013
"Sep 1, 2010",0.001
"Oct 1, 2010",1.339
"Nov 1, 2010",1.29
"Dec 1, 2010",0.912
"Jan 1, 2011",1.278
