system:time_start,AreaWater
"Jan 1, 1985",0.498
"Feb 1, 1985",0
"Mar 1, 1985",0.756
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.151
"Feb 1, 1986",0
"Mar 1, 1986",1.155
"Apr 1, 1986",1.369
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",1.542
"Sep 1, 1986",1.394
"Oct 1, 1986",0.873
"Nov 1, 1986",1.263
"Dec 1, 1986",0
"Jan 1, 1987",0.748
"Feb 1, 1987",2.126
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0.002
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",1.931
"Mar 1, 1998",1.554
"Apr 1, 1998",1.847
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0
"Sep 1, 1998",1.471
"Oct 1, 1998",1.691
"Nov 1, 1998",2.128
"Dec 1, 1998",0
"Jan 1, 1999",2.131
"Feb 1, 1999",1.95
"Mar 1, 1999",0.289
"Apr 1, 1999",0
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",1.285
"Sep 1, 1999",1.389
"Oct 1, 1999",1.667
"Nov 1, 1999",0.011
"Dec 1, 1999",0
"Jan 1, 2000",0.011
"Feb 1, 2000",0
"Mar 1, 2000",2.134
"Apr 1, 2000",1.322
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",1.384
"Sep 1, 2000",1.379
"Oct 1, 2000",1.4
"Nov 1, 2000",0.055
"Dec 1, 2000",1.552
"Jan 1, 2001",2.116
"Feb 1, 2001",0.726
"Mar 1, 2001",2.13
"Apr 1, 2001",2.121
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",1.318
"Sep 1, 2001",1.277
"Oct 1, 2001",1.401
"Nov 1, 2001",1.23
"Dec 1, 2001",2.062
"Jan 1, 2002",2.126
"Feb 1, 2002",2.118
"Mar 1, 2002",2.119
"Apr 1, 2002",0.948
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",1.404
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0.09
"Dec 1, 2002",0.27
"Jan 1, 2003",0
"Feb 1, 2003",0.657
"Mar 1, 2003",2.084
"Apr 1, 2003",2.13
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",1.343
"Sep 1, 2003",0
"Oct 1, 2003",0.439
"Nov 1, 2003",1.442
"Dec 1, 2003",0.919
"Jan 1, 2004",1.542
"Feb 1, 2004",2.134
"Mar 1, 2004",2.134
"Apr 1, 2004",0
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",1.413
"Sep 1, 2004",1.366
"Oct 1, 2004",1.4
"Nov 1, 2004",1.706
"Dec 1, 2004",2.009
"Jan 1, 2005",0.207
"Feb 1, 2005",2.135
"Mar 1, 2005",2.063
