system:time_start,AreaWater
"Jan 1, 1985",0.052
"Feb 1, 1985",0
"Mar 1, 1985",0.366
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.383
"Feb 1, 1986",0
"Mar 1, 1986",0
"Apr 1, 1986",0.001
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0.139
"Sep 1, 1986",0.054
"Oct 1, 1986",0
"Nov 1, 1986",0
"Dec 1, 1986",0.009
"Jan 1, 1987",0.308
"Feb 1, 1987",0.393
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",0
"Mar 1, 1998",0.155
"Apr 1, 1998",0
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0
"Sep 1, 1998",0
"Oct 1, 1998",0
"Nov 1, 1998",0.11
"Dec 1, 1998",0
"Jan 1, 1999",0.351
"Feb 1, 1999",0.395
"Mar 1, 1999",0.356
"Apr 1, 1999",0
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",0.218
"Sep 1, 1999",0.025
"Oct 1, 1999",0.351
"Nov 1, 1999",0.11
"Dec 1, 1999",0.016
"Jan 1, 2000",0.379
"Feb 1, 2000",0
"Mar 1, 2000",0.392
"Apr 1, 2000",0.373
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0.02
"Sep 1, 2000",0.004
"Oct 1, 2000",0.003
"Nov 1, 2000",0.035
"Dec 1, 2000",0.334
"Jan 1, 2001",0.377
"Feb 1, 2001",0.305
"Mar 1, 2001",0.391
"Apr 1, 2001",0.378
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0.065
"Sep 1, 2001",0.038
"Oct 1, 2001",0.084
"Nov 1, 2001",0
"Dec 1, 2001",0.374
"Jan 1, 2002",0.389
"Feb 1, 2002",0.358
"Mar 1, 2002",0.396
"Apr 1, 2002",0.394
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0.046
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0.191
"Dec 1, 2002",0
"Jan 1, 2003",0
"Feb 1, 2003",0.39
"Mar 1, 2003",0
"Apr 1, 2003",0.381
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0.053
"Sep 1, 2003",0
"Oct 1, 2003",0.088
"Nov 1, 2003",0.373
"Dec 1, 2003",0.375
"Jan 1, 2004",0.388
"Feb 1, 2004",0.395
"Mar 1, 2004",0.393
"Apr 1, 2004",0
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",0.066
"Sep 1, 2004",0.041
"Oct 1, 2004",0.005
"Nov 1, 2004",0.366
"Dec 1, 2004",0.369
"Jan 1, 2005",0
"Feb 1, 2005",0.392
"Mar 1, 2005",0.375
"Apr 1, 2005",0.389
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0.018
"Sep 1, 2005",0.006
"Oct 1, 2005",0
"Nov 1, 2005",0
"Dec 1, 2005",0.279
"Jan 1, 2006",0.349
"Feb 1, 2006",0.389
"Mar 1, 2006",0.245
"Apr 1, 2006",0.393
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0.049
"Sep 1, 2006",0.041
"Oct 1, 2006",0
"Nov 1, 2006",0
"Dec 1, 2006",0
"Jan 1, 2007",0.25
"Feb 1, 2007",0
"Mar 1, 2007",0.057
"Apr 1, 2007",0.047
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0.038
"Sep 1, 2007",0.02
"Oct 1, 2007",0
"Nov 1, 2007",0.347
"Dec 1, 2007",0.085
"Jan 1, 2008",0.39
"Feb 1, 2008",0.388
"Mar 1, 2008",0.334
"Apr 1, 2008",0
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",0.026
"Oct 1, 2008",0.064
"Nov 1, 2008",0.369
"Dec 1, 2008",0.375
"Jan 1, 2009",0.357
"Feb 1, 2009",0.181
"Mar 1, 2009",0
"Apr 1, 2009",0
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.021
"Sep 1, 2009",0.037
"Oct 1, 2009",0.014
"Nov 1, 2009",0.26
"Dec 1, 2009",0.341
"Jan 1, 2010",0.031
"Feb 1, 2010",0.379
"Mar 1, 2010",0.323
"Apr 1, 2010",0.278
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0
"Sep 1, 2010",0
"Oct 1, 2010",0.067
"Nov 1, 2010",0.065
"Dec 1, 2010",0
"Jan 1, 2011",0.379
"Feb 1, 2011",0.393
"Mar 1, 2011",0.333
"Apr 1, 2011",0.3
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",0.018
"Sep 1, 2011",0
"Oct 1, 2011",0.093
"Nov 1, 2011",0.28
"Dec 1, 2011",0.362
"Jan 1, 2012",0.343
"Feb 1, 2012",0.387
"Mar 1, 2012",0.37
"Apr 1, 2012",0.347
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0.003
"Sep 1, 2012",0.012
