system:time_start,AreaWater
"Jan 1, 1985",1.055
"Feb 1, 1985",0
"Mar 1, 1985",1.056
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0
"Mar 1, 1986",0.963
"Apr 1, 1986",1.085
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",1.129
"Sep 1, 1986",1.116
"Oct 1, 1986",0.417
"Nov 1, 1986",0
"Dec 1, 1986",1.003
"Jan 1, 1987",0.203
"Feb 1, 1987",1.043
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",0.838
"Mar 1, 1998",0
"Apr 1, 1998",0.882
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0.1
"Sep 1, 1998",1.025
"Oct 1, 1998",0.468
"Nov 1, 1998",1.055
"Dec 1, 1998",0.936
"Jan 1, 1999",1.113
"Feb 1, 1999",1.024
"Mar 1, 1999",0
"Apr 1, 1999",1.056
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",1.115
"Sep 1, 1999",0.692
"Oct 1, 1999",0.953
"Nov 1, 1999",0.575
"Dec 1, 1999",1.062
"Jan 1, 2000",0.985
"Feb 1, 2000",0
"Mar 1, 2000",1.009
"Apr 1, 2000",1.01
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",1.016
"Sep 1, 2000",0.928
"Oct 1, 2000",0.339
"Nov 1, 2000",0
"Dec 1, 2000",0.226
"Jan 1, 2001",0
"Feb 1, 2001",0.001
"Mar 1, 2001",1.035
"Apr 1, 2001",1.064
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",1.117
"Sep 1, 2001",0.816
"Oct 1, 2001",0.686
"Nov 1, 2001",0.018
"Dec 1, 2001",1.038
"Jan 1, 2002",0.239
"Feb 1, 2002",1.026
"Mar 1, 2002",1.087
"Apr 1, 2002",0.009
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",1.141
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0.714
"Dec 1, 2002",0.003
"Jan 1, 2003",0.609
"Feb 1, 2003",0
"Mar 1, 2003",0.483
"Apr 1, 2003",0.789
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0.445
"Sep 1, 2003",0
"Oct 1, 2003",0
"Nov 1, 2003",0.02
"Dec 1, 2003",0
"Jan 1, 2004",1.093
"Feb 1, 2004",0.483
"Mar 1, 2004",1.119
"Apr 1, 2004",0.511
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",1.117
"Sep 1, 2004",0.977
"Oct 1, 2004",1.066
"Nov 1, 2004",1.068
"Dec 1, 2004",0.987
"Jan 1, 2005",0.967
"Feb 1, 2005",1.117
"Mar 1, 2005",1.074
"Apr 1, 2005",0.924
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0.875
"Sep 1, 2005",0.731
"Oct 1, 2005",0
"Nov 1, 2005",0.039
"Dec 1, 2005",0.455
"Jan 1, 2006",0.728
"Feb 1, 2006",1.03
"Mar 1, 2006",0.536
"Apr 1, 2006",0.899
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0
"Sep 1, 2006",0.358
"Oct 1, 2006",0
"Nov 1, 2006",0.697
"Dec 1, 2006",0.003
"Jan 1, 2007",0.795
"Feb 1, 2007",0.045
"Mar 1, 2007",0
"Apr 1, 2007",0.855
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",1.088
"Sep 1, 2007",1.087
"Oct 1, 2007",0.918
"Nov 1, 2007",0.693
"Dec 1, 2007",0.809
"Jan 1, 2008",0.915
"Feb 1, 2008",1.064
"Mar 1, 2008",0.45
"Apr 1, 2008",0.391
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0.295
"Sep 1, 2008",0.926
"Oct 1, 2008",0.927
"Nov 1, 2008",1.061
"Dec 1, 2008",1.05
"Jan 1, 2009",1.05
"Feb 1, 2009",0.003
"Mar 1, 2009",0.703
"Apr 1, 2009",0.867
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.649
"Sep 1, 2009",0
"Oct 1, 2009",0.613
"Nov 1, 2009",0.908
"Dec 1, 2009",1.014
"Jan 1, 2010",0.893
"Feb 1, 2010",0
"Mar 1, 2010",0.809
"Apr 1, 2010",1.022
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.683
"Sep 1, 2010",0
"Oct 1, 2010",1.043
"Nov 1, 2010",1.023
"Dec 1, 2010",0.294
"Jan 1, 2011",1.066
"Feb 1, 2011",1.083
"Mar 1, 2011",0.207
"Apr 1, 2011",0.804
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",0.741
"Sep 1, 2011",0.557
"Oct 1, 2011",1.042
"Nov 1, 2011",0
"Dec 1, 2011",0.482
"Jan 1, 2012",0.525
"Feb 1, 2012",0.878
"Mar 1, 2012",0.762
"Apr 1, 2012",1.065
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0.217
"Sep 1, 2012",0.56
"Oct 1, 2012",0.461
"Nov 1, 2012",0.488
"Dec 1, 2012",0
"Jan 1, 2013",1.017
"Feb 1, 2013",0.766
"Mar 1, 2013",0.54
"Apr 1, 2013",0
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0.059
"Sep 1, 2013",1.098
"Oct 1, 2013",0.749
"Nov 1, 2013",0.007
"Dec 1, 2013",1.05
"Jan 1, 2014",0.806
"Feb 1, 2014",1.107
"Mar 1, 2014",1.081
"Apr 1, 2014",1.123
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",0.517
"Sep 1, 2014",0.138
"Oct 1, 2014",1.11
"Nov 1, 2014",1.072
"Dec 1, 2014",0.876
"Jan 1, 2015",0.845
"Feb 1, 2015",0.292
"Mar 1, 2015",1.112
"Apr 1, 2015",1.096
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",1.132
"Sep 1, 2015",1.115
"Oct 1, 2015",1.074
