system:time_start,AreaWater
"Jan 1, 1985",0.708
"Feb 1, 1985",0
"Mar 1, 1985",0.698
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.747
"Feb 1, 1986",0
"Mar 1, 1986",0
"Apr 1, 1986",0.749
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0.631
"Sep 1, 1986",0.413
"Oct 1, 1986",0.507
"Nov 1, 1986",0.614
"Dec 1, 1986",0.728
"Jan 1, 1987",0.753
"Feb 1, 1987",0.736
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
