system:time_start,AreaWater
"Jan 1, 1985",15.639
"Feb 1, 1985",0
"Mar 1, 1985",0.649
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",16.155
"Feb 1, 1986",0
"Mar 1, 1986",0
"Apr 1, 1986",13.699
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",16.903
"Sep 1, 1986",16.607
"Oct 1, 1986",16.119
"Nov 1, 1986",1.629
"Dec 1, 1986",5.019
"Jan 1, 1987",16.171
"Feb 1, 1987",15.563
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",3.871
"Feb 1, 1997",9.288
"Mar 1, 1997",1.14
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",5.893
"Mar 1, 1998",15.265
"Apr 1, 1998",0.107
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0
"Sep 1, 1998",14.721
"Oct 1, 1998",12.348
"Nov 1, 1998",15.344
"Dec 1, 1998",0
"Jan 1, 1999",16.567
"Feb 1, 1999",16.059
"Mar 1, 1999",15.985
"Apr 1, 1999",0
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",16.598
"Sep 1, 1999",15.381
"Oct 1, 1999",16.361
"Nov 1, 1999",16.539
"Dec 1, 1999",14.601
"Jan 1, 2000",13.907
"Feb 1, 2000",0
"Mar 1, 2000",15.229
"Apr 1, 2000",13.55
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",16.213
"Sep 1, 2000",1.785
"Oct 1, 2000",16.531
"Nov 1, 2000",7.426
"Dec 1, 2000",9.212
"Jan 1, 2001",15.54
"Feb 1, 2001",15.791
"Mar 1, 2001",17.371
"Apr 1, 2001",17.767
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",16.635
"Sep 1, 2001",16.877
"Oct 1, 2001",17.053
"Nov 1, 2001",12.365
"Dec 1, 2001",17.377
"Jan 1, 2002",17.431
"Feb 1, 2002",16.512
"Mar 1, 2002",14.792
"Apr 1, 2002",14.767
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",15.942
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",12.228
"Dec 1, 2002",1.571
"Jan 1, 2003",0
"Feb 1, 2003",16.954
"Mar 1, 2003",12.817
"Apr 1, 2003",17.098
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",15.621
"Sep 1, 2003",0
"Oct 1, 2003",15.875
"Nov 1, 2003",16.791
"Dec 1, 2003",17.079
"Jan 1, 2004",17.166
"Feb 1, 2004",17.334
"Mar 1, 2004",17.18
"Apr 1, 2004",10.31
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",16.821
"Sep 1, 2004",15.938
"Oct 1, 2004",17.231
"Nov 1, 2004",17.217
"Dec 1, 2004",2.949
"Jan 1, 2005",16.072
"Feb 1, 2005",17.308
"Mar 1, 2005",17.336
"Apr 1, 2005",17.693
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",16.538
"Sep 1, 2005",16.088
"Oct 1, 2005",7.841
"Nov 1, 2005",2.279
"Dec 1, 2005",14.513
"Jan 1, 2006",17.274
"Feb 1, 2006",6.693
"Mar 1, 2006",16.265
"Apr 1, 2006",17.511
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",12.3
"Sep 1, 2006",16.037
"Oct 1, 2006",15.806
"Nov 1, 2006",15.17
"Dec 1, 2006",8.256
"Jan 1, 2007",15.305
"Feb 1, 2007",17.241
"Mar 1, 2007",17.364
"Apr 1, 2007",17.11
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",15.053
"Sep 1, 2007",16.998
"Oct 1, 2007",9.264
"Nov 1, 2007",14.987
"Dec 1, 2007",13.29
"Jan 1, 2008",16.843
"Feb 1, 2008",17.546
"Mar 1, 2008",12.226
"Apr 1, 2008",13.621
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",2.707
"Sep 1, 2008",8.751
"Oct 1, 2008",10.937
"Nov 1, 2008",16.877
"Dec 1, 2008",17.086
"Jan 1, 2009",16.272
"Feb 1, 2009",12.393
"Mar 1, 2009",9.995
"Apr 1, 2009",14.334
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",6.769
"Sep 1, 2009",15.159
"Oct 1, 2009",16.449
"Nov 1, 2009",9.977
"Dec 1, 2009",17.075
"Jan 1, 2010",16.801
"Feb 1, 2010",15.806
"Mar 1, 2010",13.775
"Apr 1, 2010",13.983
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0.524
"Sep 1, 2010",11.398
"Oct 1, 2010",17.214
"Nov 1, 2010",16.397
"Dec 1, 2010",7.423
"Jan 1, 2011",17.893
"Feb 1, 2011",17.661
"Mar 1, 2011",14.569
"Apr 1, 2011",14.002
