system:time_start,AreaWater
"Jan 1, 1985",2.615
"Feb 1, 1985",0
"Mar 1, 1985",0
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0
"Feb 1, 1986",0
"Mar 1, 1986",0
"Apr 1, 1986",0.439
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",0
"Sep 1, 1986",4.961
"Oct 1, 1986",0
"Nov 1, 1986",0
"Dec 1, 1986",0
"Jan 1, 1987",0.521
"Feb 1, 1987",0
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0
"Feb 1, 1997",0
"Mar 1, 1997",0
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",4.961
"Mar 1, 1998",0
"Apr 1, 1998",0
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",1.617
"Sep 1, 1998",0
"Oct 1, 1998",0.494
"Nov 1, 1998",0
"Dec 1, 1998",0
"Jan 1, 1999",0.422
"Feb 1, 1999",0
"Mar 1, 1999",0
"Apr 1, 1999",0
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",5.06
"Sep 1, 1999",0.008
"Oct 1, 1999",4.929
"Nov 1, 1999",0.174
"Dec 1, 1999",0.001
"Jan 1, 2000",0
"Feb 1, 2000",0
"Mar 1, 2000",0
"Apr 1, 2000",4.963
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",4.943
"Sep 1, 2000",0.009
"Oct 1, 2000",4.868
"Nov 1, 2000",0
"Dec 1, 2000",0
"Jan 1, 2001",3.89
"Feb 1, 2001",0
"Mar 1, 2001",4.981
"Apr 1, 2001",4.995
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0
"Sep 1, 2001",3.842
"Oct 1, 2001",4.963
"Nov 1, 2001",4.884
"Dec 1, 2001",4.944
"Jan 1, 2002",4.852
"Feb 1, 2002",4.929
"Mar 1, 2002",0.387
"Apr 1, 2002",0.986
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",5.037
"Sep 1, 2002",0
"Oct 1, 2002",0.388
"Nov 1, 2002",0
"Dec 1, 2002",0
"Jan 1, 2003",3.859
"Feb 1, 2003",0
"Mar 1, 2003",4.922
"Apr 1, 2003",4.28
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0
"Sep 1, 2003",0
"Oct 1, 2003",0.03
"Nov 1, 2003",2.835
"Dec 1, 2003",0
"Jan 1, 2004",4.947
"Feb 1, 2004",4.931
"Mar 1, 2004",4.915
"Apr 1, 2004",3.909
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",4.969
"Sep 1, 2004",4.996
"Oct 1, 2004",4.215
"Nov 1, 2004",3.864
"Dec 1, 2004",0
"Jan 1, 2005",3.988
"Feb 1, 2005",4.978
"Mar 1, 2005",4.886
"Apr 1, 2005",0
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",4.966
"Sep 1, 2005",3.284
"Oct 1, 2005",3.946
"Nov 1, 2005",0.354
"Dec 1, 2005",4.885
"Jan 1, 2006",0
"Feb 1, 2006",4.927
"Mar 1, 2006",0.008
"Apr 1, 2006",0.022
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0
"Sep 1, 2006",0
"Oct 1, 2006",4.912
"Nov 1, 2006",0.065
"Dec 1, 2006",0
"Jan 1, 2007",4.932
"Feb 1, 2007",1.941
"Mar 1, 2007",4.69
"Apr 1, 2007",4.87
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",4.993
"Sep 1, 2007",0.021
"Oct 1, 2007",0.882
"Nov 1, 2007",4.844
"Dec 1, 2007",0
"Jan 1, 2008",4.96
"Feb 1, 2008",4.964
"Mar 1, 2008",4.966
"Apr 1, 2008",0
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",3.272
"Sep 1, 2008",4.887
"Oct 1, 2008",0.006
"Nov 1, 2008",0.555
"Dec 1, 2008",4.927
"Jan 1, 2009",4.933
"Feb 1, 2009",0
"Mar 1, 2009",0.022
"Apr 1, 2009",0.343
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0.046
"Sep 1, 2009",0.032
"Oct 1, 2009",0
"Nov 1, 2009",0.012
"Dec 1, 2009",4.906
"Jan 1, 2010",4.151
"Feb 1, 2010",4.71
"Mar 1, 2010",4.761
"Apr 1, 2010",4.625
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",4.938
"Sep 1, 2010",0
"Oct 1, 2010",0.412
"Nov 1, 2010",4.507
"Dec 1, 2010",0
"Jan 1, 2011",4.969
"Feb 1, 2011",4.977
"Mar 1, 2011",0
"Apr 1, 2011",0.953
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",4.912
"Sep 1, 2011",4.924
"Oct 1, 2011",4.936
"Nov 1, 2011",3.955
"Dec 1, 2011",4.907
"Jan 1, 2012",0
"Feb 1, 2012",0
"Mar 1, 2012",0
"Apr 1, 2012",1.05
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",3.809
"Sep 1, 2012",4.936
"Oct 1, 2012",0.387
"Nov 1, 2012",4.947
"Dec 1, 2012",0
"Jan 1, 2013",4.936
"Feb 1, 2013",0
"Mar 1, 2013",4.898
"Apr 1, 2013",3.891
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0.976
"Sep 1, 2013",4.96
"Oct 1, 2013",5.005
"Nov 1, 2013",0
"Dec 1, 2013",4.592
"Jan 1, 2014",3.276
"Feb 1, 2014",4.999
"Mar 1, 2014",0.008
"Apr 1, 2014",0.01
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",0
"Sep 1, 2014",0.413
"Oct 1, 2014",4.999
"Nov 1, 2014",4.906
"Dec 1, 2014",3.946
"Jan 1, 2015",0.025
"Feb 1, 2015",1.391
"Mar 1, 2015",4.944
"Apr 1, 2015",4.985
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",5.041
"Sep 1, 2015",4.984
"Oct 1, 2015",4.992
