system:time_start,AreaWater
"Jan 1, 1985",0.803
"Feb 1, 1985",0
"Mar 1, 1985",4.927
"Apr 1, 1985",0
"May 1, 1985",0
"Jun 1, 1985",0
"Jul 1, 1985",0
"Aug 1, 1985",0
"Sep 1, 1985",0
"Oct 1, 1985",0
"Nov 1, 1985",0
"Dec 1, 1985",0
"Jan 1, 1986",0.913
"Feb 1, 1986",0
"Mar 1, 1986",0
"Apr 1, 1986",1.937
"May 1, 1986",0
"Jun 1, 1986",0
"Jul 1, 1986",0
"Aug 1, 1986",5.093
"Sep 1, 1986",4.489
"Oct 1, 1986",3.776
"Nov 1, 1986",0.033
"Dec 1, 1986",0.315
"Jan 1, 1987",4.804
"Feb 1, 1987",4.917
"Mar 1, 1987",0
"Apr 1, 1987",0
"May 1, 1987",0
"Jun 1, 1987",0
"Jul 1, 1987",0
"Aug 1, 1987",0
"Sep 1, 1987",0
"Oct 1, 1987",0
"Nov 1, 1987",0
"Dec 1, 1987",0
"Jan 1, 1988",0
"Feb 1, 1988",0
"Mar 1, 1988",0
"Apr 1, 1988",0
"May 1, 1988",0
"Jun 1, 1988",0
"Jul 1, 1988",0
"Aug 1, 1988",0
"Sep 1, 1988",0
"Oct 1, 1988",0
"Nov 1, 1988",0
"Dec 1, 1988",0
"Jan 1, 1989",0
"Feb 1, 1989",0
"Mar 1, 1989",0
"Apr 1, 1989",0
"May 1, 1989",0
"Jun 1, 1989",0
"Jul 1, 1989",0
"Aug 1, 1989",0
"Sep 1, 1989",0
"Oct 1, 1989",0
"Nov 1, 1989",0
"Dec 1, 1989",0
"Jan 1, 1990",0
"Feb 1, 1990",0
"Mar 1, 1990",0
"Apr 1, 1990",0
"May 1, 1990",0
"Jun 1, 1990",0
"Jul 1, 1990",0
"Aug 1, 1990",0
"Sep 1, 1990",0
"Oct 1, 1990",0
"Nov 1, 1990",0
"Dec 1, 1990",0
"Jan 1, 1991",0
"Feb 1, 1991",0
"Mar 1, 1991",0
"Apr 1, 1991",0
"May 1, 1991",0
"Jun 1, 1991",0
"Jul 1, 1991",0
"Aug 1, 1991",0
"Sep 1, 1991",0
"Oct 1, 1991",0
"Nov 1, 1991",0
"Dec 1, 1991",0
"Jan 1, 1992",0
"Feb 1, 1992",0
"Mar 1, 1992",0
"Apr 1, 1992",0
"May 1, 1992",0
"Jun 1, 1992",0
"Jul 1, 1992",0
"Aug 1, 1992",0
"Sep 1, 1992",0
"Oct 1, 1992",0
"Nov 1, 1992",0
"Dec 1, 1992",0
"Jan 1, 1993",0
"Feb 1, 1993",0
"Mar 1, 1993",0
"Apr 1, 1993",0
"May 1, 1993",0
"Jun 1, 1993",0
"Jul 1, 1993",0
"Aug 1, 1993",0
"Sep 1, 1993",0
"Oct 1, 1993",0
"Nov 1, 1993",0
"Dec 1, 1993",0
"Jan 1, 1994",0
"Feb 1, 1994",0
"Mar 1, 1994",0
"Apr 1, 1994",0
"May 1, 1994",0
"Jun 1, 1994",0
"Jul 1, 1994",0
"Aug 1, 1994",0
"Sep 1, 1994",0
"Oct 1, 1994",0
"Nov 1, 1994",0
"Dec 1, 1994",0
"Jan 1, 1995",0
"Feb 1, 1995",0
"Mar 1, 1995",0
"Apr 1, 1995",0
"May 1, 1995",0
"Jun 1, 1995",0
"Jul 1, 1995",0
"Aug 1, 1995",0
"Sep 1, 1995",0
"Oct 1, 1995",0
"Nov 1, 1995",0
"Dec 1, 1995",0
"Jan 1, 1996",0
"Feb 1, 1996",0
"Mar 1, 1996",0
"Apr 1, 1996",0
"May 1, 1996",0
"Jun 1, 1996",0
"Jul 1, 1996",0
"Aug 1, 1996",0
"Sep 1, 1996",0
"Oct 1, 1996",0
"Nov 1, 1996",0
"Dec 1, 1996",0
"Jan 1, 1997",0.001
"Feb 1, 1997",0
"Mar 1, 1997",0.016
"Apr 1, 1997",0
"May 1, 1997",0
"Jun 1, 1997",0
"Jul 1, 1997",0
"Aug 1, 1997",0
"Sep 1, 1997",0
"Oct 1, 1997",0
"Nov 1, 1997",0
"Dec 1, 1997",0
"Jan 1, 1998",0
"Feb 1, 1998",0.53
"Mar 1, 1998",4.083
"Apr 1, 1998",2.933
"May 1, 1998",0
"Jun 1, 1998",0
"Jul 1, 1998",0
"Aug 1, 1998",0
"Sep 1, 1998",3.782
"Oct 1, 1998",0
"Nov 1, 1998",4.951
"Dec 1, 1998",0
"Jan 1, 1999",4.849
"Feb 1, 1999",5.02
"Mar 1, 1999",4.033
"Apr 1, 1999",0
"May 1, 1999",0
"Jun 1, 1999",0
"Jul 1, 1999",0
"Aug 1, 1999",5.085
"Sep 1, 1999",1.504
"Oct 1, 1999",5.012
"Nov 1, 1999",0
"Dec 1, 1999",1.086
"Jan 1, 2000",4.298
"Feb 1, 2000",0
"Mar 1, 2000",5.038
"Apr 1, 2000",1.659
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",3.822
"Sep 1, 2000",2.548
"Oct 1, 2000",4.952
"Nov 1, 2000",0.142
"Dec 1, 2000",3.449
"Jan 1, 2001",4.039
"Feb 1, 2001",3.832
"Mar 1, 2001",5.048
"Apr 1, 2001",2.016
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",5.092
"Sep 1, 2001",4.995
"Oct 1, 2001",4.947
"Nov 1, 2001",0
"Dec 1, 2001",4.956
"Jan 1, 2002",5.01
"Feb 1, 2002",5.021
"Mar 1, 2002",5.034
"Apr 1, 2002",4.589
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",5.092
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0
"Dec 1, 2002",0.799
"Jan 1, 2003",0
"Feb 1, 2003",3.895
"Mar 1, 2003",4.93
"Apr 1, 2003",5.053
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",5.002
"Sep 1, 2003",0
"Oct 1, 2003",3.834
"Nov 1, 2003",4.646
"Dec 1, 2003",4.934
"Jan 1, 2004",4.974
"Feb 1, 2004",5.039
"Mar 1, 2004",5.05
"Apr 1, 2004",0.431
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",5.092
"Sep 1, 2004",4.839
"Oct 1, 2004",4.973
"Nov 1, 2004",4.933
"Dec 1, 2004",4.85
"Jan 1, 2005",0.931
"Feb 1, 2005",5.049
"Mar 1, 2005",5.034
"Apr 1, 2005",5.063
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",5.082
"Sep 1, 2005",5.044
"Oct 1, 2005",0
"Nov 1, 2005",0
"Dec 1, 2005",4.461
"Jan 1, 2006",4.992
"Feb 1, 2006",5.027
"Mar 1, 2006",4.289
"Apr 1, 2006",5.046
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",5.082
"Sep 1, 2006",3.69
"Oct 1, 2006",4.462
"Nov 1, 2006",0.087
"Dec 1, 2006",0
"Jan 1, 2007",0.741
"Feb 1, 2007",4.457
"Mar 1, 2007",4.197
"Apr 1, 2007",1.009
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0.128
"Sep 1, 2007",5.043
"Oct 1, 2007",0.255
"Nov 1, 2007",4.33
